index,x,y,free
507,-3.1500000953674316,-2.5499997138977051,1
508,-2.8500003814697266,-2.5499997138977051,1
509,-2.5500001907348633,-2.5499997138977051,1
510,-2.25,-2.5499997138977051,1
511,-1.9500004053115845,-2.5499997138977051,0
512,-1.6500002145767212,-2.5499997138977051,1
513,-1.3500005006790161,-2.5499997138977051,1
514,-1.0500003099441528,-2.5499997138977051,1
515,-0.75000011920928955,-2.5499997138977051,0
516,-0.45000037550926208,-2.5499997138977051,0
517,-0.1500001847743988,-2.5499997138977051,0
518,0.15000000596046448,-2.5499997138977051,0
519,0.44999971985816956,-2.5499997138977051,0
520,0.74999988079071045,-2.5499997138977051,0
521,1.0500000715255737,-2.5499997138977051,0
522,-7.3500003814697266,-2.25,1
523,-7.0500001907348633,-2.25,1
524,-6.7500004768371582,-2.25,1
525,-6.4500002861022949,-2.25,1
526,-6.1500000953674316,-2.25,1
527,-5.8500003814697266,-2.25,1
528,-5.5500001907348633,-2.25,0
529,-5.2500004768371582,-2.25,0
530,-4.9500002861022949,-2.25,1
531,-4.6500000953674316,-2.25,1
532,-4.3500003814697266,-2.25,1
533,-4.0500001907348633,-2.25,1
534,-3.7500002384185791,-2.25,1
535,-3.4500002861022949,-2.25,1
536,-3.1500000953674316,-2.25,1
537,-2.8500003814697266,-2.25,1
538,-2.5500001907348633,-2.25,1
539,-2.25,-2.25,1
540,-1.9500004053115845,-2.25,0
541,-1.6500002145767212,-2.25,1
542,-1.3500005006790161,-2.25,1
543,-1.0500003099441528,-2.25,1
544,-0.75000011920928955,-2.25,0
545,-0.45000037550926208,-2.25,0
546,-0.1500001847743988,-2.25,0
547,0.15000000596046448,-2.25,0
