cell_index,x,y,wind_x,wind_y
203,5.0000004768371582,-0.5130000114440918,0,0
204,5.3000001907348633,-0.5130000114440918,0,0
205,5.6000003814697266,-0.5130000114440918,-0.00024034733360167593,0.0001770107337506488
206,5.9000005722045898,-0.5130000114440918,0,0
207,6.2000002861022949,-0.5130000114440918,0,0
208,6.5000004768371582,-0.5130000114440918,0,0
209,6.8000001907348633,-0.5130000114440918,-8.8021064584609121e-05,5.5852488003438339e-05
210,7.1000003814697266,-0.5130000114440918,-7.9014360380824655e-05,5.0804796046577394e-05
211,7.4000000953674316,-0.5130000114440918,-7.468219700967893e-05,4.8770063585834578e-05
212,7.7000002861022949,-0.5130000114440918,-6.0556965763680637e-05,4.5933637011330575e-05
213,8,-0.5130000114440918,-5.8681409427663311e-05,4.3461292079882696e-05
214,8.3000001907348633,-0.5130000114440918,0,0
215,8.6000003814697266,-0.5130000114440918,0,0
216,8.8999996185302734,-0.5130000114440918,0,0
217,9.1999998092651367,-0.5130000114440918,0,0
218,9.5,-0.5130000114440918,-6.9399329731822945e-06,2.7876753847522195e-06
219,9.8000001907348633,-0.5130000114440918,-6.5051153796957806e-06,2.5141159767372301e-06
220,10.100000381469727,-0.5130000114440918,-7.0255678110697772e-06,2.1311095679266145e-06
221,10.399999618530273,-0.5130000114440918,-6.7985074565513059e-06,1.7313036551058758e-06
222,10.699999809265137,-0.5130000114440918,-6.6309403337072581e-06,1.5242832205331069e-06
223,11,-0.5130000114440918,-6.8988347265985794e-06,1.5327393612096785e-06
224,11.300000190734863,-0.5130000114440918,-7.4119679993600585e-06,2.0427901290531736e-06
225,11.600000381469727,-0.5130000114440918,0,0
231,-0.40000000596046448,-0.21299993991851807,0,0
232,-0.10000002384185791,-0.21299993991851807,-0.022215357050299644,0.0058939261361956596
233,0.20000004768371582,-0.21299993991851807,-0.022403152659535408,0.0075953244231641293
234,0.5,-0.21299993991851807,-0.022038381546735764,0.0074708196334540844
235,0.80000007152557373,-0.21299993991851807,-0.019921489059925079,0.0061178910546004772
236,1.1000000238418579,-0.21299993991851807,-0.017615655437111855,0.0049028405919671059
237,1.3999999761581421,-0.21299993991851807,-0.015456147491931915,0.0040338695980608463
238,1.7000001668930054,-0.21299993991851807,-0.013135158456861973,0.0035015889443457127
