cell_index,grid_i,grid_j,x,y,occupancy,probability,logOdds,confidence,omega,distanceFromRobot,originalPropagationDirection_x,originalPropagationDirection_y
607,9,13,2,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
608,10,13,2.3000001907348633,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
609,11,13,2.5999999046325684,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,69.041633605957031,1,0
610,12,13,2.9000000953674316,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,68.041633605957031,1,0
611,13,13,3.2000002861022949,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,67.041633605957031,1,0
612,14,13,3.5000004768371582,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,66.041633605957031,1,0
613,15,13,3.8000001907348633,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,65.041633605957031,1,0
614,16,13,4.1000003814697266,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
615,17,13,4.4000000953674316,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
616,18,13,4.7000002861022949,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
617,19,13,5.0000004768371582,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
618,20,13,5.3000001907348633,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
619,21,13,5.6000003814697266,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
620,22,13,5.9000005722045898,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,58.041637420654297,1,0
621,23,13,6.2000002861022949,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,57.627422332763672,1,0
622,24,13,6.5000004768371582,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,57.213207244873047,1,0
623,25,13,6.8000001907348633,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,56.798992156982422,1,0
624,26,13,7.1000003814697266,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,56.384777069091797,1,0
625,27,13,7.4000000953674316,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
626,28,13,7.7000002861022949,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
627,29,13,8,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
628,30,13,8.3000001907348633,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
629,31,13,8.6000003814697266,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
630,32,13,8.8999996185302734,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,6.4686027109494038e-65,39.556346893310547,1,0
631,33,13,9.1999998092651367,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,7.6948093306540033e-59,39.970561981201172,1,0
632,34,13,9.5,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
633,35,13,9.8000001907348633,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
634,36,13,10.100000381469727,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
635,37,13,10.399999618530273,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
636,38,13,10.699999809265137,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
637,39,13,11,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,5.2549299944975338e-278,49.627422332763672,1,0
638,40,13,11.300000190734863,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,5.8720951590103239e-310,50.627422332763672,1,0
639,41,13,11.600000381469727,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,51.627422332763672,1,0
640,42,13,11.90000057220459,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,0,52.627422332763672,1,0
641,43,13,12.199999809265137,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
642,44,13,12.5,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
643,45,13,12.800000190734863,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
644,0,14,-0.70000004768371582,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
645,1,14,-0.40000000596046448,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,2.3092868548736117e-62,12.307134628295898,0.44721359014511108,0.89442718029022217
646,2,14,-0.10000002384185791,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,2.0673229467685351e-56,11.892921447753906,0.44721359014511108,0.89442718029022217
647,3,14,0.20000004768371582,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,9.3173686562442624e-51,11.478708267211914,0.44721359014511108,0.89442718029022217
648,4,14,0.5,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,2.1141020962033245e-45,11.064495086669922,0.44721359014511108,0.89442718029022217
649,5,14,0.80000007152557373,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,9.3173686562442624e-51,11.478708267211914,0.44721359014511108,0.89442718029022217
650,6,14,1.1000000238418579,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,2.0673229467685351e-56,11.892921447753906,0.44721359014511108,0.89442718029022217
651,7,14,1.3999999761581421,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,2.3092868548736117e-62,12.307134628295898,0.44721359014511108,0.89442718029022217
652,8,14,1.7000001668930054,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,5.832622455174909e-78,13.307134628295898,0.44721359014511108,0.89442718029022217
653,9,14,2,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
654,10,14,2.3000001907348633,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
655,11,14,2.5999999046325684,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,68.627418518066406,1,0
656,12,14,2.9000000953674316,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,67.627418518066406,1,0
657,13,14,3.2000002861022949,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,66.627418518066406,1,0
658,14,14,3.5000004768371582,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,65.627418518066406,1,0
659,15,14,3.8000001907348633,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,64.627418518066406,1,0
660,16,14,4.1000003814697266,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,63.627422332763672,1,0
661,17,14,4.4000000953674316,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,63.213207244873047,1,0
662,18,14,4.7000002861022949,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,62.798992156982422,1,0
663,19,14,5.0000004768371582,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,62.384777069091797,1,0
664,20,14,5.3000001907348633,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
665,21,14,5.6000003814697266,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
666,22,14,5.9000005722045898,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,57.627422332763672,1,0
667,23,14,6.2000002861022949,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,56.627422332763672,1,0
668,24,14,6.5000004768371582,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,56.213207244873047,1,0
669,25,14,6.8000001907348633,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,55.798992156982422,1,0
670,26,14,7.1000003814697266,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,55.384777069091797,1,0
671,27,14,7.4000000953674316,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
672,28,14,7.7000002861022949,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
673,29,14,8,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
674,30,14,8.3000001907348633,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
675,31,14,8.6000003814697266,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
676,32,14,8.8999996185302734,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,8.2251604081736446e-81,40.556346893310547,1,0
677,33,14,9.1999998092651367,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,5.1297211239684295e-74,40.970561981201172,1,0
678,34,14,9.5,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
679,35,14,9.8000001907348633,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
680,36,14,10.100000381469727,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,4.8790305519563544e-197,46.798992156982422,1,0
681,37,14,10.399999618530273,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,5.0057604308994208e-208,47.213207244873047,1,0
682,38,14,10.699999809265137,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,8.7425817993862534e-236,48.213207244873047,1,0
683,39,14,11,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,2.7964417453938581e-265,49.213207244873047,1,0
684,40,14,11.300000190734863,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,1.6383018485362074e-296,50.213207244873047,1,0
685,41,14,11.600000381469727,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,51.213207244873047,1,0
686,42,14,11.90000057220459,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,52.213207244873047,1,0
687,43,14,12.199999809265137,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,53.213207244873047,1,0
688,44,14,12.5,2.4870004653930664,Free,0.099999685828489393,-2.1972280681356553,0,0,54.213207244873047,1,0
689,45,14,12.800000190734863,2.4870004653930664,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
690,0,15,-0.70000004768371582,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
691,1,15,-0.40000000596046448,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
692,2,15,-0.10000002384185791,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
693,3,15,0.20000004768371582,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
694,4,15,0.5,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,7.6948157990432652e-59,12.064495086669922,0.44721359014511108,0.89442718029022217
695,5,15,0.80000007152557373,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,6.4686054484607122e-65,12.478708267211914,0.44721359014511108,0.89442718029022217
696,6,15,1.1000000238418579,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,2.737512474833134e-71,12.892921447753906,0.44721359014511108,0.89442718029022217
697,7,15,1.3999999761581421,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,5.832622455174909e-78,13.307134628295898,0.44721359014511108,0.89442718029022217
698,8,15,1.7000001668930054,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,6.2563290831798679e-85,13.721347808837891,0.44721359014511108,0.89442718029022217
699,9,15,2,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
700,10,15,2.3000001907348633,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,69.213203430175781,1,0
701,11,15,2.5999999046325684,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,68.213203430175781,1,0
702,12,15,2.9000000953674316,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,67.213203430175781,1,0
703,13,15,3.2000002861022949,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,66.213203430175781,1,0
704,14,15,3.5000004768371582,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,65.213203430175781,1,0
705,15,15,3.8000001907348633,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,64.213203430175781,1,0
706,16,15,4.1000003814697266,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,63.213207244873047,1,0
707,17,15,4.4000000953674316,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,62.213207244873047,1,0
708,18,15,4.7000002861022949,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,61.798992156982422,1,0
709,19,15,5.0000004768371582,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,61.384777069091797,1,0
710,20,15,5.3000001907348633,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
711,21,15,5.6000003814697266,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
712,22,15,5.9000005722045898,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,57.213207244873047,1,0
713,23,15,6.2000002861022949,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,56.213207244873047,1,0
714,24,15,6.5000004768371582,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,55.213207244873047,1,0
715,25,15,6.8000001907348633,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,54.798992156982422,1,0
716,26,15,7.1000003814697266,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,0,54.384777069091797,1,0
717,27,15,7.4000000953674316,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
718,28,15,7.7000002861022949,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
719,29,15,8,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
720,30,15,8.3000001907348633,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
721,31,15,8.6000003814697266,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
722,32,15,8.8999996185302734,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,1.9155802322072141e-98,41.556346893310547,1,0
723,33,15,9.1999998092651367,2.7870001792907715,Free,0.099999685828489393,-2.1972280681356553,0,6.2634226766658255e-91,41.970561981201172,1,0
724,34,15,9.5,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
725,35,15,9.8000001907348633,2.7870001792907715,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
