split,pair_index,band,geometry_0,geometry_1,geometry_2,geometry_3,geometry_4,geometry_5,geometry_6,geometry_7,geometry_8,geometry_9,geometry_10,geometry_11,geometry_12,geometry_13,geometry_14,geometry_15,geometry_16,geometry_17,geometry_18,geometry_19,geometry_20,ordinary_CROSSBLOCK_COV_NORM,ordinary_INTERACTION_ENERGY,ordinary_RAW_MASS_DIFFERENCE,ordinary_BASE_SNR
A,20,2,0.711643915485092,0.5415312849412197,0.8610074552135237,0.5504016574813257,0.5564146344723492,0.18455477102100767,1.0980417601128662,0.8584378658689453,0.6351410850205791,0.9848647449149945,0.5049546164101232,0.452145569542807,0.65934447414359,1.1764026878700564,0.2792473121612468,0.15585079402235177,0.27148184144658555,-0.07421561806015559,-0.1593311388224113,0.5486077595653929,0.2186529494276249,0.3046085261928795,0.9892650191060638,3.463798894809679,0.8934233674105246
B,20,2,0.5130004482531592,0.6346559647554552,0.7716734600486094,0.6189575828700543,0.6490092405983026,0.33476715685478264,0.40490570042517005,0.6019843673994414,0.7431077894543527,0.8143658627293884,0.5881784296731235,0.615611340182817,1.0992545508693663,0.39365342098082357,0.14448366863042458,0.19563776944997047,0.09016965976808887,-0.05475894248070041,-0.06095982595336845,0.9571687183789465,-0.01663529072131965,0.46263863029390584,0.8561156455078052,1.6011376459701856,0.5631652431508057
A,21,3,0.36935371527550287,1.1196450580497392,0.7312970063739115,0.23969321954086312,0.6863342276738196,0.468137660853067,-0.020282813854101002,0.46231279275607473,1.237670497095591,0.7407304025237144,0.3471908008407306,0.6838564183753603,1.3748859256459598,-0.010868778649381584,0.13185475544654449,0.3248379781706176,0.019501801383599252,0.13472972249679735,-0.00490383465606166,1.2112289174040762,0.009516424360775697,1.4881204919953621,2.0762416830315646,3.715014109666265,0.19597541761990994
B,21,3,0.882119411627659,0.8870631082255412,0.7198751673838427,0.6467595589091432,0.6898464878219074,0.27393649575120493,0.6509775869059231,1.0037413141701323,1.0117640731431257,0.7202852571707326,0.6552905318023744,0.6899200776267141,0.9486577233499331,0.646635993878951,0.27190019806832544,0.27949386536462006,0.0008422149025975294,0.01622588128564133,0.00014668925414482775,0.8185058779611463,-0.008272277988717991,0.9931639673185149,1.9245899509220297,4.349755564806858,0.6889458906665498
A,22,3,1.2014847204061998,1.3930957967636282,0.718988817765973,0.6624746082069272,0.6823832549731683,0.3315419865716919,0.4214006108528105,1.2667508691823919,1.4635561473095144,0.7410338341891981,0.6471309886245016,0.6742732926677714,1.087369048648133,0.4190518788347369,0.20232974514628455,0.25773892426825923,0.0447311092559302,-0.029105417570425014,-0.015855021271967442,0.9452064340946067,-0.0035691126353517505,2.09986355612119,2.5977209414318523,4.092792871844496,0.5698648084180655
B,22,3,0.38168158544026254,1.3571149208680782,0.7008522138136305,0.5826201338443487,0.6915132698943799,0.4757316238931401,-0.03682957766219098,0.4940558709655391,1.4394995482670465,0.7158987337508539,0.5475129553348036,0.6893965254690173,1.3879215107020015,-0.025635334496239982,0.16059090846654953,0.2878936115910374,0.03009758990698206,-0.059943477265585715,-0.004213219132802726,1.2229877117085044,0.011483258554542233,2.053897140759393,2.349026306622321,0.8873690830475203,0.149361013453388
A,23,3,0.772767582063442,1.2274776569908268,0.7149547534514588,0.6619663492630601,0.6891296381203942,0.4099212679965658,0.1554792130633662,0.8151113617529664,1.3095807964803954,0.7385393058753537,0.6376118902074616,0.6862983377051047,1.2720426143667145,0.13848487952906774,0.08954395885992437,0.2561987588219013,0.04762952586834571,-0.04558816368843692,-0.005616120170938503,1.1188835281886094,-0.019494086623136314,1.7422577366525112,2.3552909280492025,3.459537444534349,0.3941958455231486
B,23,3,0.5021475685760614,1.463841767190246,0.7181373376721997,0.5636684612181092,0.6917233893113492,0.4711320228266877,-0.026761927308756362,0.6598501531677868,1.5430900520630728,0.736257060869749,0.534315066418476,0.6906149599581346,1.370062101815778,-0.0034804072766571746,0.24860590949644581,0.30490236187538855,0.03680930970899285,-0.04957786793021024,-0.0022100342681267995,1.2041093890236387,0.02336174956216585,2.282962869620048,2.4297166769496417,3.110880112084571,0.17924664956265507
A,24,0,0.3304862830560033,0.5791546307940743,0.806717811120114,0.3687774591511397,0.653919218512468,0.4056757627292545,0.1584357013155679,0.42305290786609784,0.6856348019728558,0.8239227407323033,0.3805085490840175,0.6384569473278426,1.2326662615048378,0.18718623803550158,0.12660654186166886,0.1827400781389588,0.03814502785398623,0.016918708709510722,-0.02907928624285871,1.0750186635717098,0.03360425406112534,0.37867570948726287,1.502974891539876,2.8819618445184574,0.40493819372367146
B,24,0,0.1263691071428536,0.6192128917475256,0.7812524591546413,0.21189884030309308,0.6759398118980146,0.47620174465685566,-0.04815663583992998,0.1732500747055537,0.7255463774447681,0.7925638863507382,0.26632823315720944,0.6770823229763079,1.3936612266559165,-0.043125027097556785,0.05303118724930438,0.18929228040184168,0.02454308959741772,0.06685509508372155,0.002244801394189536,1.2295319162347282,0.005252762443605777,0.4415772316893931,1.4534244547038746,1.5022415360013137,0.145909917015416
