split,pair_index,band,base_C,interaction_C,audit_base_logloss,audit_interaction_logloss,audit_delta_log,audit_delta_brier,audit_delta_accuracy,design_inner_cv_delta_log
A,44,2,100.0,100.0,0.8032106116481843,0.8076513739957052,-0.004440762347520888,0.00197328132491309,0.0625,-0.03192993219967033
B,44,2,10.0,10.0,0.55419985055286,0.5260046184512406,0.02819523210161945,0.00981506088018158,0.0,0.02775213963444212
A,45,3,100.0,100.0,0.8378345307053723,0.9435282103586606,-0.10569367965328835,0.002404235160111845,0.0,0.007658093850500425
B,45,3,10.0,10.0,0.43947442509075185,0.3867849995654349,0.05268942552531697,0.022003386062028674,0.0,-0.07541102791609045
A,46,3,100.0,100.0,0.15722409512997615,0.1272600295192141,0.029964065610762036,0.009133120557549994,0.0,-0.007414183843889338
B,46,3,10.0,10.0,0.3511319163948282,0.3226014494339209,0.02853046696090733,0.011416282415311813,0.0,0.0031485851204554605
A,47,3,100.0,100.0,0.8431172300841425,1.0295981790519375,-0.186480948967795,0.01456850600866133,0.0625,0.0300337745320563
B,47,3,10.0,10.0,0.6016253158942343,0.5360705456284522,0.06555477026578205,0.03077534654798897,0.125,0.017410551952780517
A,48,0,100.0,100.0,0.02182876628182117,0.01039715896551221,0.01143160731630896,0.000505367914964883,0.0,0.021177929495268415
B,48,0,10.0,10.0,0.31617739374823184,0.2706580318009021,0.04551936194732975,0.01122741385755735,0.0,0.08697652983202481
A,49,0,100.0,100.0,0.02451388831202815,0.012669564595586602,0.011844323716441549,0.0014080032141299444,0.0,0.013434402331564968
B,49,0,10.0,10.0,0.039366752530333615,0.023393902117013952,0.015972850413319663,0.0013042903887501103,0.0,0.05532339453587076
A,50,0,100.0,100.0,0.3086045028542109,0.233744274646291,0.07486022820791993,0.026930402674109455,0.0,0.0037646361706599185
B,50,0,10.0,10.0,0.5560901056866494,0.5064568429437256,0.04963326274292379,0.020154075951688,0.0,-0.008963613178059937
A,51,1,100.0,100.0,0.03732627482059397,0.023097034432169393,0.014229240388424574,0.0015800555703383667,0.0,0.04424623851646822
B,51,1,10.0,10.0,0.2864402658366437,0.20593890873398019,0.08050135710266354,0.02884816060032628,0.0,0.11822958202939432
A,52,1,100.0,100.0,0.09147529094927927,0.0644470505776279,0.02702824037165137,0.003081889419607079,0.0,0.07657233779999911
B,52,1,10.0,10.0,0.5012789679340737,0.34073136781373004,0.16054760012034364,0.07368981363910293,0.1875,0.08822250191945546
A,53,1,100.0,100.0,0.0020940474681694988,0.0018005724888584074,0.00029347497931109137,3.834270407699007e-07,0.0,-0.00019946939559676788
B,53,1,10.0,10.0,0.031166634007544186,0.02631516165671287,0.004851472350831314,0.0004293225618957463,0.0,0.0020079911358191066
A,54,2,100.0,100.0,0.0060609162405991955,0.0024081595288132493,0.003652756711785946,0.00013896790495661156,0.0,0.050530207375979755
B,54,2,10.0,10.0,0.07507792647705858,0.039914173148122595,0.03516375332893598,0.007240557837146517,0.0,0.02238035949438711
A,55,2,100.0,100.0,0.10844558305571875,0.10605788766661353,0.0023876953891052155,-0.0006974022444938971,0.0,0.012793495991729492
B,55,2,10.0,10.0,0.44122218688852183,0.3727208952133811,0.06850129167514074,0.01626767620696193,0.0,0.005196583171892796
A,56,2,100.0,100.0,0.042643942901882045,0.03290346973230211,0.009740473169579933,0.0012175783760706468,0.0,0.021129010147486374
B,56,2,10.0,10.0,0.4249886691819109,0.4473779270894226,-0.022389257907511673,-0.001436286684675367,0.0,0.03629106874759096
A,57,3,100.0,100.0,0.30519310352854395,0.21393242945408247,0.09126067407446148,0.027897365555537318,0.0625,0.010226589015221332
B,57,3,10.0,10.0,0.4229280710007799,0.38741548555434757,0.03551258544643232,0.01137686051118339,0.0625,0.05225507244878669
A,58,3,100.0,100.0,0.6211557257003187,0.674581011780634,-0.05342528608031527,-0.014029814175845312,0.0625,-0.010591728913339815
B,58,3,10.0,10.0,0.7559071093744296,0.7373367028789184,0.018570406495511227,0.008661860416348754,0.0625,-0.09470630764510635
A,59,3,100.0,100.0,1.111380822248634,1.0476083546606108,0.06377246758802335,0.039693623410341994,0.0625,-0.023378552677004283
B,59,3,10.0,10.0,0.6913744519326299,0.6587280391541948,0.03264641277843516,0.01529258163220018,0.0625,-0.03383109853717503
A,60,0,100.0,100.0,0.028360504070024245,0.012496242434675373,0.015864261635348872,0.0015185433034882448,0.0,0.036799453401220775
B,60,0,10.0,10.0,0.07584846743971597,0.044542848526525576,0.0313056189131904,0.004484194569158485,0.0,0.06602091180150063
A,61,0,100.0,100.0,0.3345293073107674,0.02595789714249126,0.30857141016827616,0.058457469891168116,0.0625,0.012735852437799317
B,61,0,10.0,10.0,0.1172191815159353,0.07719451990816162,0.04002466160777368,0.006977618333386551,0.0,0.1544396095401058
A,62,0,100.0,100.0,0.744493589148233,1.3496712327774594,-0.6051776436292263,0.01136799323474616,0.0,0.07096027573291425
B,62,0,10.0,10.0,0.5137107935097542,0.4687519910589151,0.044958802450839164,0.018751759555053926,0.0,-0.14872752998512428
A,63,1,100.0,100.0,0.0564222775746762,0.028735767108615543,0.02768651046606066,0.003456849810311867,0.0,0.05806152560473016
B,63,1,10.0,10.0,0.48322085748818466,0.4649254324038149,0.018295425084369765,0.009665149544475171,0.0,0.08893618504059042
