source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_17_16,17,16,-0.14273000000000025,-2.5008799999999995,2.2016368015897432,2.3796766194063639,2.2742784844213113,2.1432076884553424
pmfs_12_29,12,29,-1.6427300000000002,1.39912,2.209377965457286,2.3459791302759543,2.1129934374378903,2.3244118334813724
pmfs_8_13,8,13,-2.84273,-3.4008799999999995,2.2178769190251759,2.029034267159918,2.553177592664456,1.9340176176923427
pmfs_19_13,19,13,0.4572700000000003,-3.4008799999999995,2.2598219709934257,2.4188611400485689,2.7541321602642341,1.8520290915794619
pmfs_23_16,23,16,1.6572699999999996,-2.5008799999999995,2.2927952239221319,2.5335027919354456,2.6132864404508642,2.0185788023846869
pmfs_11_1,11,1,-1.94273,-7.0008799999999995,2.3926217942312209,2.5422995441295715,2.489301811266619,2.3120828252443131
pmfs_7_24,7,24,-3.14273,-0.10088000000000008,2.4339147137601289,1.9116339511892471,2.5900168380648818,2.2922131154060623
pmfs_6_13,6,13,-3.44273,-3.4008799999999995,2.4370788330447795,1.9730683835972713,2.7162056302751827,2.1985540856514936
pmfs_7_14,7,14,-3.14273,-3.100879999999999,2.4397628934301308,2.0944101431633797,2.8605702656960159,2.0869527749090362
pmfs_12_28,12,28,-1.6427300000000002,1.099120000000001,2.4424642654192512,2.4803096362948409,2.3746524716786857,2.5301392724006027
pmfs_21_15,21,15,1.05727,-2.8008799999999994,2.4931467713547111,2.6443044041965771,2.875349686928073,2.164034096146306
pmfs_6_12,6,12,-3.44273,-3.7008799999999997,2.495177386909623,2.2514408056154727,2.7335919872922556,2.3419701927070768
pmfs_21_32,21,32,1.05727,2.2991200000000003,2.5073248804219963,1.9894028514905155,2.9012910626607304,2.1648459611078006
pmfs_7_27,7,27,-3.14273,0.7991200000000003,2.5583618238250327,1.9155748573767408,2.5836716082247206,2.5442170507595772
pmfs_19_14,19,14,0.4572700000000003,-3.100879999999999,2.5621176264552008,2.6641238201102366,2.9831430005294046,2.1986877448800128
pmfs_22_16,22,16,1.3572699999999998,-2.5008799999999995,2.5693963245598979,2.679825259111396,2.9669502847564475,2.2281064371716468
pmfs_21_31,21,31,1.05727,1.9991199999999996,2.590845553523101,1.9415633542572261,3.0213410854936815,2.2142738206591019
pmfs_9_29,9,29,-2.54273,1.39912,2.6249200062678324,2.3747335212874616,2.7300912733909546,2.5398161011371845
pmfs_12_18,12,18,-1.6427300000000002,-1.90088,2.6291747177919746,2.5615854805172984,2.7503888479795062,2.5283133339051798
pmfs_12_21,12,21,-1.6427300000000002,-1.0008799999999995,2.6336453856812185,2.5557720729695519,2.7777563160544934,2.5084583911205507
pmfs_11_2,11,2,-1.94273,-6.70088,2.6509855978776633,2.1519059424371343,2.7086842935446716,2.6012146277171335
pmfs_12_20,12,20,-1.6427300000000002,-1.3008799999999994,2.6627194448682783,2.5712132780434356,2.8000479616323926,2.5457852044976086
pmfs_12_17,12,17,-1.6427300000000002,-2.2008799999999997,2.670739791253756,2.5455402134665537,2.7815915729678231,2.5720433256109456
pmfs_12_19,12,19,-1.6427300000000002,-1.6008799999999992,2.6966107824128338,2.580778479764676,2.887081412531594,2.5307705525621782
pmfs_5_15,5,15,-3.74273,-2.8008799999999994,2.7092312904323803,1.9647984245808094,3.0995555609482279,2.3685576911466937
pmfs_6_11,6,11,-3.44273,-4.0008799999999995,2.7230744767742232,2.2762196517971698,2.6785822513942446,2.8142435567627233
pmfs_9_38,9,38,-2.54273,4.099120000000001,2.7640157749705154,2.1451177623790598,3.2143069768158368,2.3584536480483269
pmfs_19_11,19,11,0.4572700000000003,-4.0008799999999995,2.7673344310440893,2.5961022125256212,2.7717656650069729,2.8215431848999044
pmfs_13_25,13,25,-1.34273,0.19912000000000063,2.7754304996649886,2.6355669519656733,2.8184486505901565,2.7465703097782317
pmfs_2_11,2,11,-4.64273,-4.0008799999999995,2.808400386412591,2.6009726428219988,2.6847990472621537,2.9658773702728909
pmfs_9_30,9,30,-2.54273,1.6991200000000006,2.8251599423603282,2.6275100153502402,2.8689504086116258,2.8269884606800324
pmfs_3_21,3,21,-4.3427299999999995,-1.0008799999999995,2.8326088985641995,2.1005945398997694,2.6631087855728754,3.0153347114562328
pmfs_21_16,21,16,1.05727,-2.5008799999999995,2.8365766567583606,2.7796652156768888,3.2737679862719204,2.4555224432562937
pmfs_12_22,12,22,-1.6427300000000002,-0.7008799999999997,2.8405638858874083,2.6539919625625679,2.9642149411133398,2.7311880943790179
pmfs_17_14,17,14,-0.14273000000000025,-3.100879999999999,2.8587587704207897,2.7409281359553703,3.4235957767743805,2.3764764392754034
pmfs_17_15,17,15,-0.14273000000000025,-2.8008799999999994,2.8786692001395693,2.7538318083433122,3.0581329410041587,2.7261565285788558
pmfs_20_15,20,15,0.7572700000000001,-2.8008799999999994,2.8871910490569377,2.8056386949877701,3.3111688715868324,2.5127949567196586
