cell_index,x,y,source_probability
174,-1.6427299976348877,-5.500880241394043,7.8838501967919962e-147
175,-1.3427300453186035,-5.500880241394043,7.8838501967919962e-147
176,-1.0427298545837402,-5.500880241394043,7.8838501967919962e-147
177,-0.74273014068603516,-5.500880241394043,1.5218975514388765e-150
178,-0.44272994995117188,-5.500880241394043,1.5218975514388765e-150
190,-4.9427304267883301,-5.2008800506591797,2.9651255960505913e-166
191,-4.6427302360534668,-5.2008800506591797,2.9651255960505913e-166
192,-4.3427300453186035,-5.2008800506591797,2.9651255960505913e-166
193,-4.0427303314208984,-5.2008800506591797,2.9651255960505913e-166
194,-3.7427301406860352,-5.2008800506591797,2.9651255960505913e-166
195,-3.442730188369751,-5.2008800506591797,2.9651255960505913e-166
196,-3.1427302360534668,-5.2008800506591797,2.9651255960505913e-166
197,-2.8427300453186035,-5.2008800506591797,2.9651255960505913e-166
198,-2.5427300930023193,-5.2008800506591797,2.9651255960505913e-166
199,-2.2427301406860352,-5.2008800506591797,2.9651255960505913e-166
200,-1.942730188369751,-5.2008800506591797,7.8838501967919962e-147
201,-1.6427299976348877,-5.2008800506591797,7.8838501967919962e-147
202,-1.3427300453186035,-5.2008800506591797,7.8838501967919962e-147
203,-1.0427298545837402,-5.2008800506591797,7.8838501967919962e-147
204,-0.74273014068603516,-5.2008800506591797,1.5218975514388765e-150
205,-0.44272994995117188,-5.2008800506591797,1.5218975514388765e-150
217,-4.9427304267883301,-4.9008798599243164,2.9651255960505913e-166
218,-4.6427302360534668,-4.9008798599243164,2.9651255960505913e-166
219,-4.3427300453186035,-4.9008798599243164,2.9651255960505913e-166
220,-4.0427303314208984,-4.9008798599243164,2.9651255960505913e-166
221,-3.7427301406860352,-4.9008798599243164,2.9651255960505913e-166
222,-3.442730188369751,-4.9008798599243164,2.9651255960505913e-166
223,-3.1427302360534668,-4.9008798599243164,2.9651255960505913e-166
224,-2.8427300453186035,-4.9008798599243164,2.9651255960505913e-166
225,-2.5427300930023193,-4.9008798599243164,2.9651255960505913e-166
226,-2.2427301406860352,-4.9008798599243164,2.9651255960505913e-166
227,-1.942730188369751,-4.9008798599243164,7.8838501967919962e-147
228,-1.6427299976348877,-4.9008798599243164,7.8838501967919962e-147
229,-1.3427300453186035,-4.9008798599243164,7.8838501967919962e-147
230,-1.0427298545837402,-4.9008798599243164,7.8838501967919962e-147
231,-0.74273014068603516,-4.9008798599243164,1.5218975514388765e-150
232,-0.44272994995117188,-4.9008798599243164,1.5218975514388765e-150
255,-1.6427299976348877,-4.6008796691894531,3.1644539986586474e-41
282,-1.6427299976348877,-4.300879955291748,3.1644539986586474e-41
298,-4.9427304267883301,-4.000880241394043,4.0808386367679938e-32
299,-4.6427302360534668,-4.000880241394043,4.0808386367679938e-32
300,-4.3427300453186035,-4.000880241394043,4.0808386367679938e-32
301,-4.0427303314208984,-4.000880241394043,4.0808386367679938e-32
302,-3.7427301406860352,-4.000880241394043,4.0808386367679938e-32
303,-3.442730188369751,-4.000880241394043,6.0489221593888705e-11
304,-3.1427302360534668,-4.000880241394043,6.0489221593888705e-11
305,-2.8427300453186035,-4.000880241394043,6.0489221593888705e-11
306,-2.5427300930023193,-4.000880241394043,1.0493165836839367e-06
307,-2.2427301406860352,-4.000880241394043,1.0493165836839367e-06
308,-1.942730188369751,-4.000880241394043,2.8273605477230836e-06
309,-1.6427299976348877,-4.000880241394043,5.64697409523953e-06
310,-1.3427300453186035,-4.000880241394043,4.1559099915711251e-09
311,-1.0427298545837402,-4.000880241394043,6.5751890042153438e-09
316,0.45727014541625977,-4.000880241394043,1.0383296351647281e-109
317,0.75726985931396484,-4.000880241394043,1.0383296351647281e-109
318,1.0572700500488281,-4.000880241394043,1.0383296351647281e-109
319,1.3572702407836914,-4.000880241394043,1.0383296351647281e-109
320,1.6572699546813965,-4.000880241394043,1.0383296351647281e-109
321,1.9572701454162598,-4.000880241394043,4.0999869371820143e-126
325,-4.9427304267883301,-3.7008798122406006,4.0808386367679938e-32
326,-4.6427302360534668,-3.7008798122406006,4.0808386367679938e-32
327,-4.3427300453186035,-3.7008798122406006,4.0808386367679938e-32
328,-4.0427303314208984,-3.7008798122406006,4.0808386367679938e-32
329,-3.7427301406860352,-3.7008798122406006,4.0808386367679938e-32
330,-3.442730188369751,-3.7008798122406006,6.0489221593888705e-11
331,-3.1427302360534668,-3.7008798122406006,6.0489221593888705e-11
332,-2.8427300453186035,-3.7008798122406006,6.0489221593888705e-11
333,-2.5427300930023193,-3.7008798122406006,1.0493165836839367e-06
334,-2.2427301406860352,-3.7008798122406006,1.0493165836839367e-06
335,-1.942730188369751,-3.7008798122406006,7.9880462308254356e-05
336,-1.6427299976348877,-3.7008798122406006,5.64697409523953e-06
337,-1.3427300453186035,-3.7008798122406006,4.3545745262359215e-05
338,-1.0427298545837402,-3.7008798122406006,2.0179944596202254e-06
339,-0.74273014068603516,-3.7008798122406006,5.6908646195053529e-36
340,-0.44272994995117188,-3.7008798122406006,5.6908646195053529e-36
341,-0.1427302360534668,-3.7008798122406006,5.6908646195053529e-36
342,0.15726995468139648,-3.7008798122406006,5.6908646195053529e-36
343,0.45727014541625977,-3.7008798122406006,5.6908646195053529e-36
344,0.75726985931396484,-3.7008798122406006,1.8983550942231961e-120
345,1.0572700500488281,-3.7008798122406006,1.8983550942231961e-120
346,1.3572702407836914,-3.7008798122406006,1.8983550942231961e-120
