source_index,source_id,x_m,y_m,mean_delta_bp,mean_delta_mbd,positive_bp,positive_mbd,full_mean_nll,bp_mean_nll,mbd_mean_nll,full_top1,bp_top1
37,pmfs_6_14,-3.44273,-3.100879999999999,1.3022142435712294,1.7554981339647902,1,1,1.875369041409572,3.1775832849808014,3.6308671753743624,0.1875,0.125
38,pmfs_6_15,-3.44273,-2.80088,-0.33143381733621,3.2279746706530115,0,1,7.818082736657338,7.486648919321127,11.04605740731035,0.0,0.0
39,pmfs_6_16,-3.44273,-2.5008799999999995,-3.057468897539587,3.3357264447619257,0,1,8.149328745498325,5.091859847958737,11.485055190260251,0.0625,0.0625
40,pmfs_6_17,-3.44273,-2.20088,0.20998559076229806,6.429669361492402,1,1,27.598265156136257,27.80825074689856,34.02793451762866,0.0,0.0
41,pmfs_6_18,-3.44273,-1.90088,0.6996083392068015,1.5717082409541652,1,1,2.8923528588304013,3.591961198037202,4.4640610997845664,0.8125,0.6875
42,pmfs_7_12,-3.14273,-3.70088,-0.14989837147550078,1.9119548609010644,0,1,7.385150130333449,7.235251758857948,9.297104991234512,0.0625,0.0
43,pmfs_7_13,-3.14273,-3.4008799999999995,-4.034438207414605,0.903957951422287,0,1,13.371817974640859,9.337379767226256,14.275775926063146,0.0,0.0
44,pmfs_7_14,-3.14273,-3.100879999999999,2.1677437428191655,1.873873563334222,1,1,3.713340921079949,5.881084663899114,5.5872144844141705,0.0,0.0625
45,pmfs_7_15,-3.14273,-2.80088,-1.0148121719934373,2.325403505480078,0,1,17.438931093003863,16.424118921010425,19.76433459848394,0.125,0.125
46,pmfs_7_16,-3.14273,-2.5008799999999995,1.58234731470343,0.7475543768223963,1,1,1.450606955242865,3.032954269946295,2.1981613320652613,0.625,0.5
47,pmfs_7_17,-3.14273,-2.20088,0.9500333684135723,1.4630779444270179,1,1,4.589609035443224,5.539642403856796,6.052686979870241,0.0625,0.125
48,pmfs_7_18,-3.14273,-1.90088,1.617826354054981,1.823870174218802,1,1,3.555374725819771,5.173201079874752,5.379244900038573,0.0,0.0625
49,pmfs_8_12,-2.84273,-3.70088,-3.3784932059319956,-0.10558659526355962,0,0,11.799259174213615,8.420765968281621,11.693672578950057,0.0,0.0625
50,pmfs_8_13,-2.84273,-3.4008799999999995,-0.22088909477134855,0.5977649019311352,0,1,1.5556623704514267,1.334773275680078,2.1534272723825616,0.375,0.5625
51,pmfs_8_14,-2.84273,-3.100879999999999,-0.5748007976050726,2.4451113057305314,0,1,9.923737691000436,9.348936893395365,12.368848996730968,0.0,0.0625
