model,source_index,source_id,realization_index,fold,truth_nll,truth_rank,top1,top3,top5,brier,posterior_mass_0p5m,posterior_mass_1p0m,posterior_expected_distance_m,map_distance_error_m,map_source_id,nearest_neighbor_confusion,truth_vs_nearest_logodds
DIAG_COV,25,pmfs_4_16,8,0,9.63167820592643,16,0,0,0,1.7425920586381431,0.09821134625339217,0.984706347634456,0.658165904953363,0.6708203932499366,pmfs_5_14,0,3.965613816941538
DIAG_COV,25,pmfs_4_16,9,1,2.4030676006245955,4,0,0,1,0.9482566330811695,0.24485960929942863,0.6534450664250095,0.9389963412614218,0.8485281374238571,pmfs_2_18,0,5.965376306886888
DIAG_COV,25,pmfs_4_16,10,2,6.9231964274093585,14,0,0,0,1.2650781499468517,0.5302135703437693,0.8780742699313296,0.6360997882898297,0.42426406871192857,pmfs_5_15,0,4.612488540581673
DIAG_COV,25,pmfs_4_16,11,3,8.0027346150523,16,0,0,0,1.3523199476184304,0.5769173975853608,0.8561588388396958,0.6150097987277834,0.42426406871192857,pmfs_5_15,0,-1.876513552915993
DIAG_COV,25,pmfs_4_16,12,0,9.601044149660476,16,0,0,0,1.953555175128227,0.005287182115629096,0.015902240058459083,1.2334390658202197,1.2369316876852987,pmfs_5_12,0,4.232146522838606
DIAG_COV,25,pmfs_4_16,13,1,15.78115554223839,37,0,0,0,1.5544858538447148,0.05379633603306085,0.8262949323912011,0.9238148262740205,0.8485281374238566,pmfs_6_14,0,-1.2379872055928622
DIAG_COV,25,pmfs_4_16,14,2,7.412847099085947,14,0,0,0,1.4966686730948913,0.7358007994444364,0.9355353319939171,0.5329140207294948,0.42426406871192857,pmfs_5_15,0,4.465307753349756
DIAG_COV,25,pmfs_4_16,15,3,7.890372242397939,18,0,0,0,1.2809710775891723,0.04535718878131016,0.9531919176010429,0.7375760810950573,0.5999999999999996,pmfs_4_14,0,-2.672677923695103
DIAG_COV,26,pmfs_4_17,0,0,9.80967986219012,31,0,0,0,1.2231179657005606,0.12549004236452413,0.43994214972401197,1.2298545756072354,1.6970562748477134,pmfs_8_13,0,-4.0203107052335
DIAG_COV,26,pmfs_4_17,1,1,16.40223956519998,31,0,0,0,1.4137003197521112,0.011477354948002054,0.40231840552129294,1.0833709740776214,1.3416407864998732,pmfs_6_13,0,-9.889467590800479
DIAG_COV,26,pmfs_4_17,2,2,10.778044936929273,41,0,0,0,1.2957061081741372,0.01875817502158174,0.21491280391962975,1.0671096388323853,1.0816653826391966,pmfs_7_15,0,-3.7445704037193934
DIAG_COV,26,pmfs_4_17,3,3,256.7059896396365,93,0,0,0,1.5584132083642226,0.6709849301873008,0.999931697121925,0.48215024848916616,0.42426406871192857,pmfs_5_18,0,-164.5875966315944
DIAG_COV,26,pmfs_4_17,4,0,9.842924177613138,33,0,0,0,1.279976636297443,0.06395731977121966,0.2939691869015964,1.344066696479387,1.6970562748477134,pmfs_8_13,0,-3.7808822197663705
DIAG_COV,26,pmfs_4_17,5,1,9.773033265597508,35,0,0,0,1.2002986466007082,0.17516263158451567,0.5170816346844811,1.2059054521233592,0.899999999999999,pmfs_4_14,0,-7.6729249126532935
DIAG_COV,26,pmfs_4_17,6,2,12.190650775846507,39,0,0,0,1.8802951271403465,0.012605150665608526,0.0377433431868628,1.082444085211679,1.0816653826391966,pmfs_7_15,0,-4.03198341483353
DIAG_COV,26,pmfs_4_17,7,3,4.985430968359812,7,0,0,0,1.2837995931520996,0.40172091754537814,0.714141865969443,0.8191948278609644,0.42426406871192923,pmfs_3_18,0,2.879192698972359
DIAG_COV,26,pmfs_4_17,8,0,9.679100537189953,32,0,0,0,1.1763642543284234,0.18618867201138933,0.5102640049832449,1.1303766987486188,1.6970562748477134,pmfs_8_13,0,-3.878292072077892
DIAG_COV,26,pmfs_4_17,9,1,15.275577717728329,31,0,0,0,1.518524410959944,0.0005606891945703257,0.1667655352505738,1.1257807438588672,1.0816653826391958,pmfs_6_14,0,-1.091946901067658
DIAG_COV,26,pmfs_4_17,10,2,11.410895823846275,42,0,0,0,1.2723339078097589,0.06937901538335316,0.5096586337052424,1.016073689799443,0.6708203932499369,pmfs_3_15,0,-4.622015621790091
DIAG_COV,26,pmfs_4_17,11,3,8.48291147179232,12,0,0,0,1.3995152894192713,0.0021048916273225093,0.6080756666719168,0.9640133631191445,0.6708203932499366,pmfs_5_15,0,0.9423997109614497
