environment_index,source_index,target_index,candidate_index,candidate_id,occurrence_ll,conditional_mark_ll,upper_mark_ll,marked_ll,upper_ll,edf_squared_discrepancy,scaled_value_SSE,B2_positive_scale
0,3,2,3,pmfs_26_36,-95.588121921154908,-67.778378194490799,-70.46265263652964,-163.36650011564569,-166.05077455768455,33.846433333333344,2031.5985841966822,0.37482099170475414
0,3,2,4,pmfs_27_1,-1000.7919092006682,-112.19230159320486,-112.19230159320486,-1112.984210793873,-1112.984210793873,21.654655555555557,64982.212121957797,4.1837757517813586e-05
0,3,2,5,pmfs_27_2,-999.59527095257499,-112.19230159320486,-112.19230159320486,-1111.7875725457798,-1111.7875725457798,21.654655555555557,64982.211928794364,5.2579620114226318e-05
0,3,3,0,pmfs_13_18,-533.61403393988212,-130.08091146209793,-130.08091146209793,-663.69494540198002,-663.69494540198002,41.028311111111115,15650.971106743924,0.0022030805787760532
0,3,3,1,pmfs_13_19,-539.79267124346359,-130.08091146209793,-130.08091146209793,-669.87358270556149,-669.87358270556149,40.277866666666675,15650.924791593077,0.0030986727465661785
0,3,3,2,pmfs_27_36,-142.19031478188666,-90.457144882337829,-101.57629521915013,-232.64745966422447,-243.76661000103678,24.755644444444449,3536.0487640883503,0.13788332509637397
0,3,3,3,pmfs_26_36,-140.23320243893414,-89.670499620946373,-79.470342362264859,-229.90370205988052,-219.703544801199,24.573200000000003,3341.0249714579836,0.16575042677252122
0,3,3,4,pmfs_27_1,-980.55096835930533,-130.08091146209793,-130.08091146209793,-1110.6318798214033,-1110.6318798214033,18.912977777777776,15651.11171192821,0.00016191620758868505
0,3,3,5,pmfs_27_2,-978.68215056019642,-130.08091146209793,-130.08091146209793,-1108.7630620222944,-1108.7630620222944,18.912977777777776,15651.108878377636,0.00020302348156689857
0,4,0,0,pmfs_13_18,-372.9799945545733,-30.028120200493408,-30.028120200493408,-403.00811475506669,-403.00811475506669,77.460988888888906,217375.43458314511,1.3955750556662645e-06
0,4,0,1,pmfs_13_19,-343.80308631935759,-30.028120200493408,-30.028120200493408,-373.83120651985098,-373.83120651985098,77.42432222222223,217375.43458092795,1.053386569429504e-05
0,4,0,2,pmfs_27_36,-396.85002523072427,-30.028120200493408,-30.028120200493408,-426.87814543121766,-426.87814543121766,75.67632222222224,217375.43458243087,1.1025981036323292e-06
0,4,0,3,pmfs_26_36,-381.08368154018115,-30.028120200493408,-30.028120200493408,-411.11180174067454,-411.11180174067454,75.606100000000012,217375.43456193537,6.8898509299564172e-06
0,4,0,4,pmfs_27_1,-87.487710615924215,-14.15465029369572,0.78657547200076083,-101.64236090961994,-86.701135143923452,43.131877777777788,40293.8821142163,0.67579911298207596
0,4,0,5,pmfs_27_2,-88.384056507981995,-13.40769092283147,3.1998499122136215,-101.79174743081347,-85.184206595768373,43.131877777777788,48720.074437246432,0.73129809726321482
0,4,1,0,pmfs_13_18,-372.9799945545733,-30.288484641967884,-30.288484641967884,-403.26847919654119,-403.26847919654119,77.461877777777801,214793.59085336397,1.5910613055154467e-06
0,4,1,1,pmfs_13_19,-343.80308631935759,-30.288484641967884,-30.288484641967884,-374.09157096132549,-374.09157096132549,77.425211111111125,214793.59085109926,1.0684943765568181e-05
0,4,1,2,pmfs_27_36,-396.85002523072427,-30.288484641967884,-30.288484641967884,-427.13850987269217,-427.13850987269217,75.67765555555556,214793.5908526656,1.104265027067433e-06
0,4,1,3,pmfs_26_36,-381.08368154018115,-30.288484641967884,-30.288484641967884,-411.37216618214904,-411.37216618214904,75.606988888888907,214793.59083243142,6.8477665721331411e-06
0,4,1,4,pmfs_27_1,-87.487710615924215,-17.097470378979846,7.8815417304668101,-104.58518099490406,-79.606168885457407,43.132322222222228,40963.487431910384,0.66956609075279383
0,4,1,5,pmfs_27_2,-88.384056507981995,-16.443376590325638,9.4371338879302638,-104.82743309830764,-78.946922620051737,43.132322222222228,49224.188732123373,0.72457677525030784
0,4,2,0,pmfs_13_18,-386.59008532585824,-35.594907597898086,-35.594907597898086,-422.18499292375634,-422.18499292375634,75.341333333333338,196869.81026814473,2.1379324568135026e-06
0,4,2,1,pmfs_13_19,-357.4315588781659,-35.594907597898086,-35.594907597898086,-393.026466476064,-393.026466476064,75.298000000000002,196869.81026579696,1.101346668737327e-05
0,4,2,2,pmfs_27_36,-406.97214668587083,-35.594907597898086,-35.594907597898086,-442.56705428376893,-442.56705428376893,73.549777777777791,196869.81026751158,1.1028934321914302e-06
0,4,2,3,pmfs_26_36,-391.34837777372604,-35.594907597898086,-35.594907597898086,-426.94328537162414,-426.94328537162414,73.469111111111118,196869.8102484844,6.6478621231311599e-06
