environment_index,house,wind,source_index,source_id,target_index,seed,cube_sha256,model,truth_nll,truth_rank,top1,top3,brier,mass_0p5m,mass_1m,expected_distance_m,map_distance_error_m,map_source_id,nearest_confusion,true_vs_nearest_logodds
0,House01,"1,3-2,4_fast",3,pmfs_26_36,1,1563513389,12eb66fc2c220a514318bb7059718a5fb6b63f49b73ebe751f23f4b85f7427e8,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,6.458788689220006e-39,0.0,pmfs_26_36,0,86.73140403163809
0,House01,"1,3-2,4_fast",3,pmfs_26_36,2,825654739,0c5efbea5b57f156af74f827ff11f9fef9495b31d5cff1ab96885791eeceef18,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,7.277340220630098e-59,0.0,pmfs_26_36,0,132.66378224118137
0,House01,"1,3-2,4_fast",3,pmfs_26_36,3,1427337066,e341584f300603736606d94e4f1aeb00cf7650060004875cd833f71779a32027,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,0.0,0.0,pmfs_26_36,0,237381.10320898742
0,House01,"1,3-2,4_fast",4,pmfs_27_1,0,1743007564,475a7a7fafaf7b2c95a7eb8274ffd3114f76ff0c320edbc2505185b5961ee068,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,1.8814450659531582e-19,0.0,pmfs_27_1,0,65.02619824123812
0,House01,"1,3-2,4_fast",4,pmfs_27_1,1,640940692,104d121347d8c7dd742f8e221ee4e17d9ff4a65d9224b9320e2a7537aee4831f,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,7.684365796086961e-20,0.0,pmfs_27_1,0,62.929023252704795
0,House01,"1,3-2,4_fast",4,pmfs_27_1,2,459421915,80481cfb1373576a598e4a515d4f1b91dbd7b9ba96de6e3cb7774dc23bc21e0d,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,5.1526486948021875e-20,0.0,pmfs_27_1,0,57.9004761628085
0,House01,"1,3-2,4_fast",4,pmfs_27_1,3,691240492,7b7b9338a269c8e92d83aa4aa103e403262494fa177c926e251ad3fbf14460ce,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,5.89651747835539e-19,0.0,pmfs_27_1,0,68.69197755546648
0,House01,"1,3-2,4_fast",5,pmfs_27_2,0,169204970,f95045e1b9293d7a67f7616bcb183316323bd3d895a051db9a70d8f3cd940acf,BLOCK_PRODUCT,2.220446049250313e-15,1,1,1,0.0,0.9999999999999978,0.9999999999999978,2.2579276506779872e-14,0.0,pmfs_27_2,0,115.91396244030055
0,House01,"1,3-2,4_fast",5,pmfs_27_2,1,694263111,5b0770246cccb8bd0503d8a51ca8894bb4a9b8e0520c0fae3c76a015e69f9444,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,6.111295311945044e-16,0.0,pmfs_27_2,0,238.9237560348383
0,House01,"1,3-2,4_fast",5,pmfs_27_2,2,88925021,b1b4e0911b02ac177e839ead9d6dfb26837bf308143b8bd02c45d16d5dd70c95,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,3.107908368759793e-16,0.0,pmfs_27_2,0,100.62471090961544
0,House01,"1,3-2,4_fast",5,pmfs_27_2,3,12449631,40987f8c5127465b6b79b32d13935d8f5abc7b44008042cd6bfc1b77f85b5869,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,5.971124995396756e-16,0.0,pmfs_27_2,0,189.11830930190447
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,1518485619,a8a147aa71b340dcf6aa57e7f386963db577e14658935deaaa306f907a3d6c46,MATCHED_BLOCK_DIAG,1.8484185634091936,2,0,1,1.419659600703485,1.0000000000000009,1.0000000000000009,0.25275419290618467,0.2999999999999998,pmfs_13_19,1,-1.6770535356601286
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,446612736,5ac451c9540d0535920bee4b2d3ea2a5d3b491e85dcf6609b46ce33ab3177611,MATCHED_BLOCK_DIAG,0.0034636386203370506,1,1,1,2.3910647538150087e-05,1.0000000000000004,1.0000000000000004,0.001037294143057327,0.0,pmfs_13_18,0,5.6637032989305585
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,1721139348,920e71eaa7775fe78c1b45b454531ac25288b5e82ae549a2885e229adb618629,MATCHED_BLOCK_DIAG,0.0003586455510937725,1,1,1,2.5716101914596834e-07,0.9999999999999999,0.9999999999999999,0.00010757437363976043,0.0,pmfs_13_18,0,7.932996651924171
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,374231629,8e913a2b78e71a0af3a59e7025efc66b6b2579320ced7e3f8e17eae06c800948,MATCHED_BLOCK_DIAG,0.02420802330658134,1,1,1,0.0011440801518971533,1.0000000000000004,1.0000000000000004,0.007175207790396693,0.0,pmfs_13_18,0,3.7089427297892428
