phase	environment_index	house	wind	source_index	source_id	source_xyz	new_index	seed_key	requested_seed	run_dir
REFERENCE	1	House02	3,5-1_slow	1	pmfs_11_20	[-1.9427300000000005, -1.3008800000000003, 0.2]	5	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_11_20|reference_new_index=5	406412712	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_11_20/reference_05_seed_406412712
REFERENCE	1	House02	3,5-1_slow	2	pmfs_1_1	[-4.94273, -7.0008799999999995, 0.2]	0	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_1_1|reference_new_index=0	199187392	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_1_1/reference_00_seed_199187392
REFERENCE	1	House02	3,5-1_slow	2	pmfs_1_1	[-4.94273, -7.0008799999999995, 0.2]	1	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_1_1|reference_new_index=1	1721369854	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_1_1/reference_01_seed_1721369854
REFERENCE	1	House02	3,5-1_slow	2	pmfs_1_1	[-4.94273, -7.0008799999999995, 0.2]	2	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_1_1|reference_new_index=2	815018091	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_1_1/reference_02_seed_815018091
REFERENCE	1	House02	3,5-1_slow	2	pmfs_1_1	[-4.94273, -7.0008799999999995, 0.2]	3	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_1_1|reference_new_index=3	1994333422	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_1_1/reference_03_seed_1994333422
REFERENCE	1	House02	3,5-1_slow	2	pmfs_1_1	[-4.94273, -7.0008799999999995, 0.2]	4	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_1_1|reference_new_index=4	1933983132	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_1_1/reference_04_seed_1933983132
REFERENCE	1	House02	3,5-1_slow	2	pmfs_1_1	[-4.94273, -7.0008799999999995, 0.2]	5	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_1_1|reference_new_index=5	696248796	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_1_1/reference_05_seed_696248796
REFERENCE	1	House02	3,5-1_slow	3	pmfs_2_1	[-4.64273, -7.0008799999999995, 0.2]	0	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_1|reference_new_index=0	442513875	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_1/reference_00_seed_442513875
REFERENCE	1	House02	3,5-1_slow	3	pmfs_2_1	[-4.64273, -7.0008799999999995, 0.2]	1	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_1|reference_new_index=1	611742792	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_1/reference_01_seed_611742792
REFERENCE	1	House02	3,5-1_slow	3	pmfs_2_1	[-4.64273, -7.0008799999999995, 0.2]	2	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_1|reference_new_index=2	1035793508	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_1/reference_02_seed_1035793508
REFERENCE	1	House02	3,5-1_slow	3	pmfs_2_1	[-4.64273, -7.0008799999999995, 0.2]	3	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_2_1|reference_new_index=3	484330733	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_2_1/reference_03_seed_484330733
