x,y
-5.14273,3.599120000000001
-5.14273,3.6991200000000006
-5.14273,3.7991200000000003
-5.14273,3.8991200000000017
-5.14273,3.9991200000000013
-5.14273,4.099120000000001
-5.14273,4.199120000000001
-5.14273,4.29912
-5.042730000000001,-7.300879999999999
-5.042730000000001,-7.20088
-5.042730000000001,-7.10088
-5.042730000000001,-7.0008799999999995
-5.042730000000001,-6.90088
-5.042730000000001,-6.800879999999999
-5.042730000000001,-6.70088
-5.042730000000001,-6.60088
-5.042730000000001,-6.5008799999999995
-5.042730000000001,-6.40088
-5.042730000000001,-6.300879999999999
-5.042730000000001,-6.20088
-5.042730000000001,-6.10088
-5.042730000000001,-6.0008799999999995
-5.042730000000001,-5.90088
-5.042730000000001,-5.800879999999999
-5.042730000000001,-5.70088
-5.042730000000001,-5.60088
-5.042730000000001,-5.5008799999999995
-5.042730000000001,-5.400879999999999
-5.042730000000001,-5.300879999999999
-5.042730000000001,-5.20088
-5.042730000000001,-5.10088
-5.042730000000001,-5.0008799999999995
-5.042730000000001,-4.900879999999999
-5.042730000000001,-4.800879999999999
-5.042730000000001,-4.70088
-5.042730000000001,-4.20088
-5.042730000000001,-4.10088
-5.042730000000001,-4.0008799999999995
-5.042730000000001,-3.9008799999999995
-5.042730000000001,-3.8008799999999994
-5.042730000000001,-3.7008799999999997
-5.042730000000001,-3.6008799999999996
-5.042730000000001,-3.5008799999999995
-5.042730000000001,-3.40088
-5.042730000000001,-3.3008799999999994
-5.042730000000001,-3.2008799999999997
-5.042730000000001,-3.100879999999999
-5.042730000000001,-3.0008799999999995
-5.042730000000001,-2.90088
-5.042730000000001,-2.8008799999999994
-5.042730000000001,-2.7008799999999997
-5.042730000000001,-2.600879999999999
-5.042730000000001,-2.5008799999999995
-5.042730000000001,-2.400879999999999
-5.042730000000001,-2.3008799999999994
-5.042730000000001,-2.2008799999999997
-5.042730000000001,-2.100879999999999
-5.042730000000001,-2.0008799999999995
-5.042730000000001,-1.900879999999999
-5.042730000000001,-1.8008799999999994
-5.042730000000001,-1.7008799999999997
-5.042730000000001,-1.6008799999999992
-5.042730000000001,-1.5008799999999995
-5.042730000000001,-1.400879999999999
-5.042730000000001,-1.3008799999999994
-5.042730000000001,0.19912000000000063
-5.042730000000001,0.2991200000000003
-5.042730000000001,0.3991200000000008
-5.042730000000001,0.49912000000000045
-5.042730000000001,0.599120000000001
-5.042730000000001,0.6991200000000006
-5.042730000000001,0.7991200000000003
-5.042730000000001,0.8991199999999999
-5.042730000000001,0.9991200000000013
-5.042730000000001,1.099120000000001
-5.042730000000001,1.1991200000000006
-5.042730000000001,1.2991200000000003
-5.042730000000001,1.39912
-5.042730000000001,1.4991200000000013
