panel,pair_index,protocol,model,target_count,mean_nll,trimmed20_nll,tail_excess,misclassification_rate,mean_nll_given_error,q95_nll,max_nll
CENTRAL,59,P_G1A,BLOCK_PRODUCT,32,28.925570262304095,2.522571403846981,26.402998858457114,0.625,46.24384558113239,108.77075431831584,603.3985741003592
CENTRAL,59,P_G1A,MATCHED_BLOCK_DIAG,32,14.120870713123338,2.7488456733713247,11.372025039752014,0.625,22.54918974974558,94.31363596604072,144.98945099003953
CENTRAL,59,P_E2,FULL,32,12.398695066324162,3.062027409157357,9.336667657166805,0.625,19.77996418820369,69.97840188516986,158.12941025674925
CENTRAL,59,P_E2,BLOCK_PRODUCT,32,19.61252232535204,3.529703316163455,16.082819009188583,0.6875,28.489450851918438,93.55022062628058,274.1872273010732
CENTRAL,59,P_E2,MATCHED_BLOCK_DIAG,32,21.644230686123898,4.176949842027051,17.467280844096848,0.6875,31.444870309965403,121.23463654132192,205.632283328538
CENTRAL,60,P_G1A,FULL,32,0.0011208351010692284,1.4904609016544828e-07,0.001120686054979063,0.0,,0.0003488146702517928,0.035039734442116485
CENTRAL,60,P_G1A,BLOCK_PRODUCT,32,1.3775082331368822e-07,2.8888419923426747e-10,1.3746193911445396e-07,0.0,,3.1002766883556686e-07,3.2553869034026996e-06
CENTRAL,60,P_G1A,MATCHED_BLOCK_DIAG,32,9.276030248615285e-05,1.6593821472218293e-08,9.274370866468064e-05,0.0,,1.45978903859543e-05,0.0029325629997016003
CENTRAL,60,P_E2,FULL,32,0.008812700187128021,0.0005773784468508404,0.00823532174027718,0.0,,0.022234505189974614,0.19065685952915978
CENTRAL,60,P_E2,BLOCK_PRODUCT,32,0.10359286921944091,0.0043327825478874146,0.0992600866715535,0.0625,0.8674878638623902,0.6993630298911728,1.018261999887138
CENTRAL,60,P_E2,MATCHED_BLOCK_DIAG,32,0.019247289964157296,0.00043008466982920427,0.018817205294328093,0.0,,0.11407242797725581,0.2705792499452873
CENTRAL,61,P_G1A,FULL,32,0.04932277819317899,0.004752104292063578,0.04457067390111541,0.03125,1.1389415087671286,0.09910891733228011,1.1389415087671286
CENTRAL,61,P_G1A,BLOCK_PRODUCT,32,1.1571099087508414,6.641421115724667e-07,1.1571092446087299,0.03125,36.95720280943969,0.032008404199818846,36.95720280943969
CENTRAL,61,P_G1A,MATCHED_BLOCK_DIAG,32,1.1253965448475447,0.06375132303622977,1.061645221811315,0.1875,5.789610495372622,8.134103297563739,10.71614069866204
CENTRAL,61,P_E2,FULL,32,1.819151167755746,0.42186405056299564,1.3972871171927503,0.28125,6.441861210084532,9.085189759385788,13.231831772225163
CENTRAL,61,P_E2,BLOCK_PRODUCT,32,1.0046896117623496,1.3636618942335331e-06,1.0046882481004553,0.09375,10.71654200677787,10.228986585478486,11.611990418383739
CENTRAL,61,P_E2,MATCHED_BLOCK_DIAG,32,2.8928495219490755,0.671732285902529,2.2211172360465463,0.3125,9.246658486122374,12.752044497222418,28.980243315010778
CENTRAL,62,P_G1A,FULL,32,159.8092231849685,0.6209948918423392,159.18822829312614,0.375,426.0339344399488,7.645660178647185,5070.368961223207
CENTRAL,62,P_G1A,BLOCK_PRODUCT,32,122.73892547031552,0.21092046158067196,122.52800500873485,0.25,490.75844690171846,11.605177638524093,3883.2476743837033
CENTRAL,62,P_G1A,MATCHED_BLOCK_DIAG,32,191.0171117428322,0.9372195313512901,190.0798922114809,0.46875,407.45409576545586,10.395870511499378,6053.261561266236
CENTRAL,62,P_E2,FULL,32,150.43348842902984,0.2051028862795977,150.22838554275023,0.28125,534.794677141813,7.164614466021974,4786.473062626152
CENTRAL,62,P_E2,BLOCK_PRODUCT,32,71.13734752004756,0.3067425428809824,70.83060497716657,0.3125,227.55948208789118,47.99956503252727,2159.150738229829
CENTRAL,62,P_E2,MATCHED_BLOCK_DIAG,32,144.38893418064933,0.9891476846399421,143.3997864960094,0.46875,307.9653105042182,10.522141277726076,4559.865657169463
CENTRAL,63,P_G1A,FULL,32,0.3484770605447903,0.017971202003794456,0.3305058585409958,0.125,2.609335651726035,1.8500279980257173,5.7487141737190255
CENTRAL,63,P_G1A,BLOCK_PRODUCT,32,0.6696818219664366,0.003994988331640209,0.6656868336347963,0.09375,7.0319181859391575,3.080292051081551,14.928071534613188
CENTRAL,63,P_G1A,MATCHED_BLOCK_DIAG,32,0.5741130029897941,0.04085622712588867,0.5332567758639054,0.15625,3.448694017271083,4.034468383331768,5.164980896172081
CENTRAL,63,P_E2,FULL,32,1.0476760440016535,0.19030300913176357,0.8573730348698899,0.21875,4.7793037209849505,5.137880727024842,6.087962430705229
CENTRAL,63,P_E2,BLOCK_PRODUCT,32,1.5071192065524046,0.5861425408098022,0.9209766657426024,0.34375,4.34490050162821,6.743633153104815,7.687409873857729
CENTRAL,63,P_E2,MATCHED_BLOCK_DIAG,32,1.9346576048341713,0.9264130594719869,1.0082445453621842,0.34375,5.60713512764486,7.415491226003765,8.440532298461196
CENTRAL,64,P_G1A,FULL,32,636.2483423141476,0.001356780471484839,636.2469855336761,0.03125,20359.54200571304,0.13454687244773236,20359.54200571304
CENTRAL,64,P_G1A,BLOCK_PRODUCT,32,228.4161809922742,2.1355160510372227e-05,228.4161596371137,0.03125,7309.182720419266,0.060689276823283116,7309.182720419266
CENTRAL,64,P_G1A,MATCHED_BLOCK_DIAG,32,838.3050273521989,0.000762636558485287,838.3042647156403,0.03125,26825.306431358014,0.1722566848335898,26825.306431358014
CENTRAL,64,P_E2,FULL,32,0.15543996864067577,1.2535067145098717e-05,0.15542743357353067,0.03125,4.930636516145877,0.017537518823061468,4.930636516145877
CENTRAL,64,P_E2,BLOCK_PRODUCT,32,0.7318145126733266,2.2424053975990182e-05,0.7317920886193506,0.09375,7.797311476353376,5.540768992311196,11.83915982922889
CENTRAL,64,P_E2,MATCHED_BLOCK_DIAG,32,0.29142850245220514,0.0010180692748950082,0.29041043317731013,0.0625,4.598014739555817,1.2556494781905656,6.452001608000609
CENTRAL,65,P_G1A,FULL,32,5.88554224989051e-12,1.5402186534114888e-17,5.885526847703976e-12,0.0,,2.2145162288317917e-11,1.3997325890953328e-10
CENTRAL,65,P_G1A,BLOCK_PRODUCT,32,3.045052648390296e-08,1.2502902458318374e-13,3.045040145487838e-08,0.0,,4.9253275720676214e-08,8.649565434319816e-07
CENTRAL,65,P_G1A,MATCHED_BLOCK_DIAG,32,2.8357072823443705e-12,1.7995071013286633e-18,2.8357054828372694e-12,0.0,,4.867234924437001e-12,8.07336290108707e-11
CENTRAL,65,P_E2,FULL,32,5.293546142724672e-09,4.37597426990473e-18,5.293546138348698e-09,0.0,,7.088595980587626e-14,1.693932972137568e-07
CENTRAL,65,P_E2,BLOCK_PRODUCT,32,4.75879517426009e-09,1.0571375632840154e-15,4.7587941171225265e-09,0.0,,5.4880151427527555e-12,1.5226905570346892e-07
