panel,pair_index,x_band,mid_x,mid_y,orientation,orientation_cos,orientation_sin,source0_x,source0_y,source1_x,source1_y,separation
CENTRAL,37,0,-4.19273,-2.80088,0.0,1.0,0.0,-4.34273,-2.80088,-4.04273,-2.80088,0.3000000000000007
CENTRAL,38,0,-3.59273,-2.80088,0.0,1.0,0.0,-3.74273,-2.80088,-3.44273,-2.80088,0.2999999999999998
CENTRAL,39,1,-2.99273,-2.80088,0.0,1.0,0.0,-3.14273,-2.80088,-2.84273,-2.80088,0.2999999999999998
CENTRAL,40,1,-2.3927300000000002,-2.80088,0.0,1.0,0.0,-2.54273,-2.80088,-2.24273,-2.80088,0.30000000000000027
CENTRAL,41,1,-1.7927300000000002,-2.80088,0.0,1.0,0.0,-1.94273,-2.80088,-1.6427300000000002,-2.80088,0.2999999999999998
CENTRAL,42,2,-1.1927299999999996,-2.80088,0.0,1.0,0.0,-1.34273,-2.80088,-1.0427299999999995,-2.80088,0.3000000000000005
CENTRAL,43,2,-0.59273,-2.80088,0.0,1.0,0.0,-0.7427299999999999,-2.80088,-0.44273,-2.80088,0.2999999999999999
CENTRAL,44,2,0.007269999999999652,-2.80088,0.0,1.0,0.0,-0.1427300000000002,-2.80088,0.1572699999999995,-2.80088,0.2999999999999997
CENTRAL,45,3,0.6072700000000002,-2.80088,0.0,1.0,0.0,0.4572700000000003,-2.80088,0.7572700000000001,-2.80088,0.2999999999999998
CENTRAL,46,3,1.2072699999999998,-2.80088,0.0,1.0,0.0,1.05727,-2.80088,1.3572699999999998,-2.80088,0.2999999999999998
CENTRAL,47,3,1.8072699999999995,-2.80088,0.0,1.0,0.0,1.6572699999999996,-2.80088,1.9572699999999996,-2.80088,0.30000000000000004
CENTRAL,48,0,-4.792730000000001,-2.5008799999999995,0.0,1.0,0.0,-4.94273,-2.5008799999999995,-4.64273,-2.5008799999999995,0.2999999999999998
CENTRAL,49,0,-4.19273,-2.5008799999999995,0.0,1.0,0.0,-4.34273,-2.5008799999999995,-4.04273,-2.5008799999999995,0.3000000000000007
CENTRAL,50,0,-3.59273,-2.5008799999999995,0.0,1.0,0.0,-3.74273,-2.5008799999999995,-3.44273,-2.5008799999999995,0.2999999999999998
