panel,pair_index,x_band,source_x_mean_abs,source_x_rms,source_x_max_abs,source_x_median_abs,source_x_cosine,source_y_mean_abs,source_y_rms,source_y_max_abs,source_y_median_abs,source_y_cosine,probe_x_mean_abs,probe_x_rms,probe_x_max_abs,probe_x_median_abs,probe_x_cosine,probe_y_mean_abs,probe_y_rms,probe_y_max_abs,probe_y_median_abs,probe_y_cosine,euclidean_mean_abs,euclidean_rms,euclidean_max_abs,euclidean_median_abs,euclidean_cosine,geodesic_mean_abs,geodesic_rms,geodesic_max_abs,geodesic_median_abs,geodesic_cosine,los_mean_abs,los_rms,los_max_abs,los_median_abs,los_cosine,disconnected_mean_abs,disconnected_rms,disconnected_max_abs,disconnected_median_abs,disconnected_cosine,probe_centroid_x,probe_centroid_y,probe_spread_x,probe_spread_y,los_disagreement_fraction
CENTRAL,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.009622964587021693,0.004988637352088182,0.006643168397377774,0.009604686343287705,4.320320809925171e-05,-0.01033501687796115,-0.013308384896605907,0.0,-6.661338147750939e-16,-0.00013806950754258196,-0.06666666666666667,-0.2581988897471611,-1.0,0.0,0.08333333333333337,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.06666666666666667
CENTRAL,31,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.00590258542606506,0.006654862149089669,0.005385265992694066,0.003820305440483507,0.00010191235742973426,-0.0075735931288070935,-0.011502079095243367,0.0,0.0,-6.795900244471742e-05,-0.06666666666666667,-0.2581988897471611,-1.0,0.0,0.08333333333333293,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.06666666666666667
CENTRAL,32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.00400548178167065,0.003735159285015971,0.004070518517509392,0.007201865924690742,0.000159998751171897,0.0013807118745768343,-0.0024991024206348356,0.0,-6.661338147750939e-16,3.4775974888878736e-05,0.03333333333333333,0.18257418583505536,1.0,0.0,-0.04653741075440787,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.03333333333333333
CENTRAL,33,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.014730642941539224,0.009234624903791955,0.0031825164329690736,0.0047814986566110385,0.00010780944464838793,0.015522847498307901,0.006792207773091474,0.0,0.0,0.0001913989738310251,-0.03333333333333333,-0.07562470391210574,0.0,0.0,0.028817087042713796,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,34,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.0002234086607795227,0.006574128055461231,0.002555351852298493,0.005505823710143742,0.00010474110675973147,0.01619288125423013,0.012429992617712715,0.0,0.0,0.00016455424995975854,0.03333333333333333,0.18257418583505536,1.0,0.0,-0.057190958417936755,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.03333333333333333
CENTRAL,35,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.017717428023668325,0.01439374860093387,0.002096324251668058,0.014882795341561117,1.7450327330026383e-05,0.015857864376268904,0.00956233973504439,0.0,0.0,0.0001540554801539029,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.018798865711704804,-0.013666929339823303,0.0002566531824905738,-0.042490563554113625,-4.137318179731064e-05,0.007238576250846007,0.004471905646267427,0.0,0.0,0.00018490191115672072,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.012318512686289446,-0.011172512839435406,0.00030803743393370553,-0.023128953507841388,-7.735330895763948e-05,0.01585786437626907,0.009562339735044334,0.0,0.0,0.0001815979369600429,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.017976594553619163,-0.013697590945941723,0.0003764623410162926,-0.023975508696415293,-6.087738795834685e-05,0.004142135623730864,0.0011809386405397526,0.0,0.0,-3.8841447158932674e-05,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.039231077169476825,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,39,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.008174330365509297,-0.0100301322817547,0.00047033852630296025,0.002374650033871717,-7.022262353539865e-05,-0.015384078963832704,-0.0216371336873957,0.0,-4.996003610813204e-16,3.249556441864421e-05,0.0,0.0,0.0,0.0,-0.007306333584930602,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
