cell_index,grid_i,grid_j,x,y,occupancy
281,11,10,-1.942730188369751,-4.300879955291748,Obstacle
282,12,10,-1.6427299976348877,-4.300879955291748,Free
283,13,10,-1.3427300453186035,-4.300879955291748,Obstacle
284,14,10,-1.0427298545837402,-4.300879955291748,Obstacle
285,15,10,-0.74273014068603516,-4.300879955291748,Obstacle
286,16,10,-0.44272994995117188,-4.300879955291748,Obstacle
287,17,10,-0.1427302360534668,-4.300879955291748,Obstacle
288,18,10,0.15726995468139648,-4.300879955291748,Obstacle
289,19,10,0.45727014541625977,-4.300879955291748,Obstacle
290,20,10,0.75726985931396484,-4.300879955291748,Obstacle
291,21,10,1.0572700500488281,-4.300879955291748,Obstacle
292,22,10,1.3572702407836914,-4.300879955291748,Obstacle
293,23,10,1.6572699546813965,-4.300879955291748,Obstacle
294,24,10,1.9572701454162598,-4.300879955291748,Obstacle
295,25,10,2.2572698593139648,-4.300879955291748,Obstacle
296,26,10,2.5572700500488281,-4.300879955291748,Obstacle
297,0,11,-5.2427301406860352,-4.000880241394043,Obstacle
298,1,11,-4.9427304267883301,-4.000880241394043,Free
299,2,11,-4.6427302360534668,-4.000880241394043,Free
300,3,11,-4.3427300453186035,-4.000880241394043,Free
301,4,11,-4.0427303314208984,-4.000880241394043,Free
302,5,11,-3.7427301406860352,-4.000880241394043,Free
303,6,11,-3.442730188369751,-4.000880241394043,Free
304,7,11,-3.1427302360534668,-4.000880241394043,Free
305,8,11,-2.8427300453186035,-4.000880241394043,Free
306,9,11,-2.5427300930023193,-4.000880241394043,Free
307,10,11,-2.2427301406860352,-4.000880241394043,Free
308,11,11,-1.942730188369751,-4.000880241394043,Free
309,12,11,-1.6427299976348877,-4.000880241394043,Free
310,13,11,-1.3427300453186035,-4.000880241394043,Free
311,14,11,-1.0427298545837402,-4.000880241394043,Free
312,15,11,-0.74273014068603516,-4.000880241394043,Obstacle
313,16,11,-0.44272994995117188,-4.000880241394043,Obstacle
314,17,11,-0.1427302360534668,-4.000880241394043,Obstacle
315,18,11,0.15726995468139648,-4.000880241394043,Obstacle
316,19,11,0.45727014541625977,-4.000880241394043,Free
317,20,11,0.75726985931396484,-4.000880241394043,Free
318,21,11,1.0572700500488281,-4.000880241394043,Free
319,22,11,1.3572702407836914,-4.000880241394043,Free
320,23,11,1.6572699546813965,-4.000880241394043,Free
321,24,11,1.9572701454162598,-4.000880241394043,Free
322,25,11,2.2572698593139648,-4.000880241394043,Obstacle
323,26,11,2.5572700500488281,-4.000880241394043,Obstacle
324,0,12,-5.2427301406860352,-3.7008798122406006,Obstacle
325,1,12,-4.9427304267883301,-3.7008798122406006,Free
326,2,12,-4.6427302360534668,-3.7008798122406006,Free
327,3,12,-4.3427300453186035,-3.7008798122406006,Free
328,4,12,-4.0427303314208984,-3.7008798122406006,Free
329,5,12,-3.7427301406860352,-3.7008798122406006,Free
330,6,12,-3.442730188369751,-3.7008798122406006,Free
331,7,12,-3.1427302360534668,-3.7008798122406006,Free
332,8,12,-2.8427300453186035,-3.7008798122406006,Free
333,9,12,-2.5427300930023193,-3.7008798122406006,Free
334,10,12,-2.2427301406860352,-3.7008798122406006,Free
335,11,12,-1.942730188369751,-3.7008798122406006,Free
336,12,12,-1.6427299976348877,-3.7008798122406006,Free
337,13,12,-1.3427300453186035,-3.7008798122406006,Free
338,14,12,-1.0427298545837402,-3.7008798122406006,Free
339,15,12,-0.74273014068603516,-3.7008798122406006,Free
340,16,12,-0.44272994995117188,-3.7008798122406006,Free
341,17,12,-0.1427302360534668,-3.7008798122406006,Free
342,18,12,0.15726995468139648,-3.7008798122406006,Free
343,19,12,0.45727014541625977,-3.7008798122406006,Free
344,20,12,0.75726985931396484,-3.7008798122406006,Free
345,21,12,1.0572700500488281,-3.7008798122406006,Free
346,22,12,1.3572702407836914,-3.7008798122406006,Free
347,23,12,1.6572699546813965,-3.7008798122406006,Free
348,24,12,1.9572701454162598,-3.7008798122406006,Free
349,25,12,2.2572698593139648,-3.7008798122406006,Obstacle
350,26,12,2.5572700500488281,-3.7008798122406006,Obstacle
351,0,13,-5.2427301406860352,-3.4008798599243164,Obstacle
352,1,13,-4.9427304267883301,-3.4008798599243164,Free
353,2,13,-4.6427302360534668,-3.4008798599243164,Free
354,3,13,-4.3427300453186035,-3.4008798599243164,Free
355,4,13,-4.0427303314208984,-3.4008798599243164,Free
356,5,13,-3.7427301406860352,-3.4008798599243164,Free
357,6,13,-3.442730188369751,-3.4008798599243164,Free
358,7,13,-3.1427302360534668,-3.4008798599243164,Free
359,8,13,-2.8427300453186035,-3.4008798599243164,Free
360,9,13,-2.5427300930023193,-3.4008798599243164,Free
361,10,13,-2.2427301406860352,-3.4008798599243164,Free
362,11,13,-1.942730188369751,-3.4008798599243164,Free
363,12,13,-1.6427299976348877,-3.4008798599243164,Free
364,13,13,-1.3427300453186035,-3.4008798599243164,Free
365,14,13,-1.0427298545837402,-3.4008798599243164,Free
366,15,13,-0.74273014068603516,-3.4008798599243164,Free
367,16,13,-0.44272994995117188,-3.4008798599243164,Free
368,17,13,-0.1427302360534668,-3.4008798599243164,Free
369,18,13,0.15726995468139648,-3.4008798599243164,Free
370,19,13,0.45727014541625977,-3.4008798599243164,Free
371,20,13,0.75726985931396484,-3.4008798599243164,Free
372,21,13,1.0572700500488281,-3.4008798599243164,Free
373,22,13,1.3572702407836914,-3.4008798599243164,Free
374,23,13,1.6572699546813965,-3.4008798599243164,Free
375,24,13,1.9572701454162598,-3.4008798599243164,Free
376,25,13,2.2572698593139648,-3.4008798599243164,Obstacle
377,26,13,2.5572700500488281,-3.4008798599243164,Obstacle
378,0,14,-5.2427301406860352,-3.1008796691894531,Obstacle
379,1,14,-4.9427304267883301,-3.1008796691894531,Free
380,2,14,-4.6427302360534668,-3.1008796691894531,Free
381,3,14,-4.3427300453186035,-3.1008796691894531,Free
382,4,14,-4.0427303314208984,-3.1008796691894531,Free
383,5,14,-3.7427301406860352,-3.1008796691894531,Free
384,6,14,-3.442730188369751,-3.1008796691894531,Free
385,7,14,-3.1427302360534668,-3.1008796691894531,Free
386,8,14,-2.8427300453186035,-3.1008796691894531,Free
387,9,14,-2.5427300930023193,-3.1008796691894531,Free
388,10,14,-2.2427301406860352,-3.1008796691894531,Free
389,11,14,-1.942730188369751,-3.1008796691894531,Free
390,12,14,-1.6427299976348877,-3.1008796691894531,Free
391,13,14,-1.3427300453186035,-3.1008796691894531,Free
392,14,14,-1.0427298545837402,-3.1008796691894531,Free
393,15,14,-0.74273014068603516,-3.1008796691894531,Free
394,16,14,-0.44272994995117188,-3.1008796691894531,Free
395,17,14,-0.1427302360534668,-3.1008796691894531,Free
396,18,14,0.15726995468139648,-3.1008796691894531,Free
397,19,14,0.45727014541625977,-3.1008796691894531,Free
398,20,14,0.75726985931396484,-3.1008796691894531,Free
399,21,14,1.0572700500488281,-3.1008796691894531,Free
400,22,14,1.3572702407836914,-3.1008796691894531,Free
401,23,14,1.6572699546813965,-3.1008796691894531,Free
402,24,14,1.9572701454162598,-3.1008796691894531,Free
403,25,14,2.2572698593139648,-3.1008796691894531,Free
404,26,14,2.5572700500488281,-3.1008796691894531,Free
405,0,15,-5.2427301406860352,-2.800879955291748,Obstacle
406,1,15,-4.9427304267883301,-2.800879955291748,Free
407,2,15,-4.6427302360534668,-2.800879955291748,Free
408,3,15,-4.3427300453186035,-2.800879955291748,Free
409,4,15,-4.0427303314208984,-2.800879955291748,Free
410,5,15,-3.7427301406860352,-2.800879955291748,Free
411,6,15,-3.442730188369751,-2.800879955291748,Free
412,7,15,-3.1427302360534668,-2.800879955291748,Free
413,8,15,-2.8427300453186035,-2.800879955291748,Free
414,9,15,-2.5427300930023193,-2.800879955291748,Free
415,10,15,-2.2427301406860352,-2.800879955291748,Free
416,11,15,-1.942730188369751,-2.800879955291748,Free
417,12,15,-1.6427299976348877,-2.800879955291748,Free
418,13,15,-1.3427300453186035,-2.800879955291748,Free
419,14,15,-1.0427298545837402,-2.800879955291748,Free
420,15,15,-0.74273014068603516,-2.800879955291748,Free
421,16,15,-0.44272994995117188,-2.800879955291748,Free
422,17,15,-0.1427302360534668,-2.800879955291748,Free
423,18,15,0.15726995468139648,-2.800879955291748,Free
424,19,15,0.45727014541625977,-2.800879955291748,Free
425,20,15,0.75726985931396484,-2.800879955291748,Free
426,21,15,1.0572700500488281,-2.800879955291748,Free
427,22,15,1.3572702407836914,-2.800879955291748,Free
428,23,15,1.6572699546813965,-2.800879955291748,Free
429,24,15,1.9572701454162598,-2.800879955291748,Free
430,25,15,2.2572698593139648,-2.800879955291748,Free
431,26,15,2.5572700500488281,-2.800879955291748,Free
432,0,16,-5.2427301406860352,-2.5008797645568848,Obstacle
433,1,16,-4.9427304267883301,-2.5008797645568848,Free
434,2,16,-4.6427302360534668,-2.5008797645568848,Free
435,3,16,-4.3427300453186035,-2.5008797645568848,Free
436,4,16,-4.0427303314208984,-2.5008797645568848,Free
437,5,16,-3.7427301406860352,-2.5008797645568848,Free
438,6,16,-3.442730188369751,-2.5008797645568848,Free
439,7,16,-3.1427302360534668,-2.5008797645568848,Free
440,8,16,-2.8427300453186035,-2.5008797645568848,Free
441,9,16,-2.5427300930023193,-2.5008797645568848,Free
442,10,16,-2.2427301406860352,-2.5008797645568848,Free
443,11,16,-1.942730188369751,-2.5008797645568848,Free
444,12,16,-1.6427299976348877,-2.5008797645568848,Free
445,13,16,-1.3427300453186035,-2.5008797645568848,Free
446,14,16,-1.0427298545837402,-2.5008797645568848,Free
447,15,16,-0.74273014068603516,-2.5008797645568848,Free
448,16,16,-0.44272994995117188,-2.5008797645568848,Free
449,17,16,-0.1427302360534668,-2.5008797645568848,Free
450,18,16,0.15726995468139648,-2.5008797645568848,Free
451,19,16,0.45727014541625977,-2.5008797645568848,Free
452,20,16,0.75726985931396484,-2.5008797645568848,Free
453,21,16,1.0572700500488281,-2.5008797645568848,Free
454,22,16,1.3572702407836914,-2.5008797645568848,Free
455,23,16,1.6572699546813965,-2.5008797645568848,Free
456,24,16,1.9572701454162598,-2.5008797645568848,Free
457,25,16,2.2572698593139648,-2.5008797645568848,Free
458,26,16,2.5572700500488281,-2.5008797645568848,Free
459,0,17,-5.2427301406860352,-2.2008800506591797,Obstacle
460,1,17,-4.9427304267883301,-2.2008800506591797,Free
461,2,17,-4.6427302360534668,-2.2008800506591797,Free
462,3,17,-4.3427300453186035,-2.2008800506591797,Free
463,4,17,-4.0427303314208984,-2.2008800506591797,Free
464,5,17,-3.7427301406860352,-2.2008800506591797,Free
465,6,17,-3.442730188369751,-2.2008800506591797,Free
466,7,17,-3.1427302360534668,-2.2008800506591797,Free
467,8,17,-2.8427300453186035,-2.2008800506591797,Free
468,9,17,-2.5427300930023193,-2.2008800506591797,Free
469,10,17,-2.2427301406860352,-2.2008800506591797,Free
470,11,17,-1.942730188369751,-2.2008800506591797,Free
471,12,17,-1.6427299976348877,-2.2008800506591797,Free
472,13,17,-1.3427300453186035,-2.2008800506591797,Free
