panel,pair_index,protocol,source0_id,source1_id,distance_m,target_count,full_nll,bp_nll,mbd_nll,delta_bp,delta_mbd,full_accuracy,full_brier,block_product_accuracy,block_product_brier,matched_block_diag_accuracy,matched_block_diag_brier
CENTRAL,14,P_E2,pmfs_5_13,pmfs_6_13,0.2999999999999998,32,1.1414967852208557,1.1673097681855926,1.558069916710854,0.025812982964736886,0.4165731314899983,0.6875,0.5278773184949609,0.75,0.4212269181090546,0.6875,0.5058684368425345
CENTRAL,15,P_G1A,pmfs_7_13,pmfs_8_13,0.2999999999999998,32,1.6825040361540184,1.621990602612529,2.0392815185329742,-0.060513433541489414,0.3567774823789558,0.75,0.5202227995526492,0.6875,0.5492964175719548,0.6875,0.6044243406611313
CENTRAL,15,P_E2,pmfs_7_13,pmfs_8_13,0.2999999999999998,32,7.195283040861397e-05,2.2054220760491463e-06,0.0002466545761447513,-6.974740833256483e-05,0.00017470174573613732,1.0,6.492171467884639e-08,1.0,3.0952989452883535e-10,1.0,1.4309503257477222e-06
CENTRAL,16,P_G1A,pmfs_9_13,pmfs_10_13,0.30000000000000027,32,7.543912000829556,8.365287209791294,9.994351737673426,0.8213752089617383,2.4504397368438706,0.8125,0.30547642852046997,0.8125,0.3421702077152411,0.78125,0.3475714455680195
CENTRAL,16,P_E2,pmfs_9_13,pmfs_10_13,0.30000000000000027,32,12.166820802847097,18.621815096376906,17.040434698806596,6.4549942935298095,4.873613895959499,0.9375,0.12614760563089653,0.875,0.24941550607357485,0.90625,0.19348225491611146
CENTRAL,17,P_G1A,pmfs_11_13,pmfs_12_13,0.2999999999999998,32,8.292783062186753e-24,1.9971514369755545e-15,6.0900188083245105e-24,1.9971514286827714e-15,-2.202764253862243e-24,1.0,0.0,1.0,2.434683598496568e-28,1.0,0.0
CENTRAL,17,P_E2,pmfs_11_13,pmfs_12_13,0.2999999999999998,32,4.679187541162162e-18,5.3705731889888385e-11,2.36448220208579e-18,5.3705727210700845e-11,-2.3147053390763725e-18,1.0,3.0814879110195774e-33,1.0,1.792808948547101e-19,1.0,0.0
CENTRAL,18,P_G1A,pmfs_13_13,pmfs_14_13,0.3000000000000005,32,0.2937302610290706,0.8669943081099631,0.7685661769644389,0.5732640470808925,0.4748359159353682,0.96875,0.07152895915520742,0.875,0.20001145669783515,0.90625,0.14680191276108448
CENTRAL,18,P_E2,pmfs_13_13,pmfs_14_13,0.3000000000000005,32,1.4502548978451306,2.0729949692490965,2.1168932981990665,0.6227400714039659,0.6666384003539358,0.71875,0.5653321651018561,0.65625,0.5962789898400921,0.65625,0.6412554791244784
CENTRAL,19,P_G1A,pmfs_15_13,pmfs_16_13,0.2999999999999999,32,3.3506181937521458,3.7067987072440105,5.554306103035983,0.35618051349186475,2.203687909283837,0.875,0.25402480100635016,0.875,0.25000349504158026,0.875,0.25008221617747545
CENTRAL,19,P_E2,pmfs_15_13,pmfs_16_13,0.2999999999999999,32,1.7454046791893552,1.9934576426069062,2.597111028325659,0.248052963417551,0.8517063491363039,0.9375,0.12554570121047387,0.90625,0.14322990378368233,0.9375,0.12506935621841098
CENTRAL,20,P_G1A,pmfs_17_13,pmfs_18_13,0.2999999999999997,32,0.32091537083146215,1.114897703713111,1.26147694817613,0.7939823328816488,0.9405615773446679,0.84375,0.220150854209947,0.5625,0.6897785264912268,0.625,0.6995064960083017
CENTRAL,20,P_E2,pmfs_17_13,pmfs_18_13,0.2999999999999997,32,0.024528043273730628,0.35391711521415653,0.6708507863803141,0.3293890719404259,0.6463227431065836,1.0,0.009837632437795039,0.90625,0.15743774650305092,0.8125,0.33657335016846013
CENTRAL,21,P_G1A,pmfs_19_13,pmfs_20_13,0.2999999999999998,32,2.6608428290879926,3.021839378457325,3.414677011326818,0.36099654936933234,0.7538341822388253,0.78125,0.3550929545257469,0.6875,0.521714033472161,0.75,0.4186689992376555
