panel,pair_index,delta_bp_p_g1a,delta_bp_p_e2,probe_effect_bp,delta_mbd_p_g1a,delta_mbd_p_e2,probe_effect_mbd,bp_sign_agreement,mbd_sign_agreement
CENTRAL,36,-2.2968641719106158,-2.6830415800960585,-0.38617740818544277,3.2608814236997965,0.15866892606989413,-3.1022124976299024,True,True
CENTRAL,37,-4.38672588801683,-14.704369216113825,-10.317643328096995,-1.509556821629701,6.386593684977136,7.896150506606837,True,False
CENTRAL,38,1.0393203760048586,0.6332242481768968,-0.4060961278279618,1.5761549483888266,0.8874288662835264,-0.6887260821053003,True,True
CENTRAL,39,-30.15880214873593,-42.294031874627485,-12.135229725891556,9.709644298780432,-0.03982965920319259,-9.749473957983625,True,False
CENTRAL,40,0.7489554485051557,0.11836723843364183,-0.6305882100715139,0.2766303563589336,1.1030811870592236,0.82645083070029,True,True
CENTRAL,41,6.353485761651989e-12,7.601640071780868e-09,7.595286586019215e-09,-4.3149331382558345e-12,-1.688317802765377e-09,-1.6840028696271212e-09,True,True
CENTRAL,42,0.0015757543957010864,0.2827482980919056,0.28117254369620454,0.0005331884669403041,0.0063621325121329805,0.005828944045192677,True,True
CENTRAL,43,0.5120006104341526,0.24085281465340064,-0.27114779578075193,0.8353184670653788,0.4721133017802062,-0.3632051652851726,True,True
CENTRAL,44,-2.1396828735265006,1.771744634537039,3.9114275080635394,0.46916009627931654,0.17910396391203054,-0.290056132367286,False,True
CENTRAL,45,1.7212437246831271,9.51910690002029,7.797863175337163,-0.4857246950614815,-2.800911285823819,-2.3151865907623375,True,True
CENTRAL,46,-0.06259499237732519,-0.13861854032821097,-0.07602354795088578,-0.013442148269645404,-0.0501302284955798,-0.036688080225934394,True,True
CENTRAL,47,-20.411411272153515,-11.791181281326594,8.620229990826921,-6.411235559013079,14.144426341446227,20.555661900459306,True,False
CENTRAL,48,-111.64595264519494,0.1106519431901436,111.75660458838509,-71.54011919332567,0.506323780215326,72.04644297354099,False,False
CENTRAL,49,-9.328004215868393e-05,2.5979012013151204,2.597994481357279,6.531803623926096e-05,0.7432866405871821,0.7432213225509429,False,True
CENTRAL,50,-0.10275842086348572,0.9282230205588573,1.030981441422343,0.24527371689695035,1.3827596930171235,1.1374859761201732,False,True
CENTRAL,51,-2.244689249708287,-22.424747684853614,-20.180058435145327,-0.19126337618287792,1.433957599531567,1.625220975714445,True,False
CENTRAL,52,31.34076633666842,6.306037666924626,-25.034728669743792,4.167761641231619,11.843934860799425,7.676173219567806,True,True
CENTRAL,53,0.00018496082243267862,0.000991331911363803,0.0008063710889311244,0.0038319124154765918,2.2130383619912004e-06,-0.0038296993771146006,True,True
CENTRAL,54,-7.393240006579252e-12,0.13457408616263922,0.13457408617003247,-7.392528958304279e-12,1.065195990042222,1.0651959900496146,False,False
CENTRAL,55,0.9609997073274381,1.5870349570676012,0.6260352497401631,2.9564224110473183,2.6296020011989603,-0.32682040984835803,True,True
CENTRAL,56,147.24702289833897,160.94697645827682,13.699953559937853,-6.734319908646057,-484.6692455555521,-477.93492564690604,True,True
