cell_index,u,v
198,2.733799919951707e-05,0.0001234499941347167
199,3.313200068078004e-05,0.0002269200049340725
200,-2.110800051013939e-05,0.0003342200070619583
201,-0.00016014999710023403,0.00031887998920865357
202,-0.00023335000150837004,0.00014806000399403274
203,-0.00010401000326965004,1.2264000361028593e-05
204,7.034700047370279e-06,-7.790599920554087e-05
205,3.921000097761862e-05,-0.00013267000031191856
217,1.0751999980129767e-05,1.0863999705179594e-05
218,1.8493999959900975e-05,1.3715000022784807e-05
219,2.1724999896832742e-05,1.129100019170437e-05
220,2.2005000573699363e-05,9.751200195751153e-06
221,1.9626000721473247e-05,1.0106999980052933e-05
222,1.5826000890228897e-05,1.3300000318849925e-05
223,1.3400999705481809e-05,2.2755999452783726e-05
224,1.9860999600496143e-05,4.8229001549771056e-05
225,5.116399916005321e-05,0.00011156000255141407
226,0.00016990999574773014,0.00023241000599227846
227,0.00023350000265054405,0.0005272299749776721
228,-6.564999785041437e-05,0.0005927699967287481
229,-0.0001733800017973408,0.00023341999622061849
230,4.5779001084156334e-05,-7.139000081224367e-05
231,0.00018047000048682094,-0.00012688999413512647
232,0.00013291000504978,-0.00012155000149505213
255,0.000925170024856925,0.0008470200118608773
282,0.008242500014603138,0.0003398300032131374
298,0.0014488999731838703,-0.0006951200193725526
299,0.002033799886703491,-0.00042793998727574944
300,0.0027161999605596066,-0.00028233000193722546
301,0.0031822999007999897,-0.0002309300034539774
302,0.003735800040885806,-0.0002237900043837726
303,0.004516299813985825,-0.00038631001370958984
304,0.005392999853938818,-0.0008586199837736785
305,0.006130400113761425,-0.0011247999500483274
306,0.006714699789881706,-0.000982249970547855
307,0.0069923000410199165,-0.0006956399884074926
308,0.006287099793553352,-7.751699740765616e-05
309,0.004765199963003397,0.0016181999817490578
310,0.0035425000824034214,0.0036694000009447336
311,0.003378499997779727,0.0053138998337090015
316,0.003880399977788329,-0.008948500268161297
317,0.006325200200080872,-0.0032210000790655613
318,0.007101899944245815,0.0008513199863955379
319,0.007017599884420633,0.004856999963521957
320,0.006638099905103445,0.008457300253212452
321,0.006745100021362305,0.005954400170594454
325,0.0010716000106185675,-0.0010840999893844128
326,0.0014471999602392316,-0.0006657299818471074
327,0.0017946000443771482,-0.0003838500124402344
328,0.002132199937477708,-0.0002764599921647459
329,0.0025510000996291637,-0.00032700999872758985
330,0.0030827000737190247,-0.000583869987167418
331,0.003599100047722459,-0.0010133000323548913
332,0.0039047999307513237,-0.001281099976040423
333,0.003973400220274925,-0.0010934999445453286
334,0.00348019995726645,-0.00034142000367864966
335,0.0020302999764680862,0.0010399000020697713
336,-0.00022591000015381724,0.0028377000708132982
337,-0.002361200051382184,0.004268900025635958
338,-0.0029994999058544636,0.004383999854326248
339,-0.000900499988347292,0.0016756999539211392
340,-0.00023701999452896416,-0.0008086700108833611
341,0.00019065999367740005,-0.0018297999631613493
342,0.00032650999492034316,-0.004165399819612503
343,-0.0027753000613301992,-0.0064258999191224575
344,-0.004899399820715189,-0.0041403998620808125
345,-0.005143300164490938,-0.0008415299816988409
346,-0.00394529988989234,0.002593700075522065
347,-0.0010111000156030059,0.005569899920374155
348,0.002535599982365966,0.006547499913722277
352,0.000662490027025342,-0.001380800036713481
353,0.0008751199929974973,-0.0008027700241655111
354,0.0010586000280454755,-0.00044606998562812805
355,0.001256300020031631,-0.0003014800022356212
356,0.0014927999582141638,-0.00036705000093206763
357,0.001754299970343709,-0.0006360199768096209
358,0.0019527999684214592,-0.001005499972961843
359,0.0019438000163063407,-0.0011789000127464533
360,0.0015078999567776918,-0.0007336100097745657
361,0.00022041999909561127,0.000644850020762533
362,-0.0023235001135617495,0.002778799971565604
363,-0.005879499949514866,0.0047737001441419125
364,-0.009286800399422646,0.005402999930083752
365,-0.01107100024819374,0.00392040004953742
366,-0.010863999836146832,0.0008178899879567325
367,-0.010746999643743038,-0.0013924000086262822
368,-0.011943000368773937,-0.0026895999908447266
369,-0.01414399966597557,-0.0044201998971402645
370,-0.017733000218868256,-0.005266100168228149
371,-0.021384000778198242,-0.004233600106090307
372,-0.023973999544978142,-0.0026382000651210546
373,-0.024755999445915222,-0.0014527000021189451
374,-0.022870000451803207,-0.0008946799789555371
375,-0.017261000350117683,-0.0005262200138531625
379,0.0003832200018223375,-0.0015086999628692865
380,0.00045267000677995384,-0.0008468899759463966
381,0.0005340200150385499,-0.00043591001303866506
382,0.0006208000122569501,-0.00024163999478332698
383,0.000693199981469661,-0.00025824998738244176
384,0.0007064800010994077,-0.00046825999743305147
385,0.0005812399904243648,-0.0007561399834230542
386,0.00017282000044360757,-0.0007741299923509359
