shuffle,mean_nll,median_truth_rank,top1,top3
160,3.5942952324651207,1.0,0.78125,0.9375
161,3.1971908845376076,1.0,0.7604166666666666,0.9513888888888888
162,3.55112432290837,1.0,0.7638888888888888,0.9409722222222222
163,2.767504502539748,1.0,0.7673611111111112,0.9548611111111112
164,3.581709239334862,1.0,0.7534722222222222,0.9479166666666666
165,3.0994878654669815,1.0,0.75,0.9375
166,3.5180067865451883,1.0,0.75,0.9513888888888888
167,3.762755646318627,1.0,0.7777777777777778,0.9618055555555556
168,3.8030604572224656,1.0,0.7604166666666666,0.9479166666666666
169,3.0391994053481644,1.0,0.7534722222222222,0.9583333333333334
170,3.2147740895761854,1.0,0.7604166666666666,0.9513888888888888
171,3.0074195000941946,1.0,0.7604166666666666,0.9513888888888888
172,3.4125950732184815,1.0,0.75,0.9548611111111112
173,2.7154627224422927,1.0,0.7743055555555556,0.9548611111111112
174,3.1344907913091107,1.0,0.7465277777777778,0.9548611111111112
175,2.8882202509473807,1.0,0.7534722222222222,0.9375
176,3.049098595546487,1.0,0.7534722222222222,0.9513888888888888
177,2.773509681300566,1.0,0.7638888888888888,0.9583333333333334
178,3.1922091539399844,1.0,0.7604166666666666,0.9409722222222222
179,3.118096594616732,1.0,0.7638888888888888,0.9548611111111112
180,2.8072377940046387,1.0,0.7569444444444444,0.9513888888888888
181,3.375192010574721,1.0,0.7604166666666666,0.9513888888888888
182,3.8370312576350045,1.0,0.7743055555555556,0.9479166666666666
183,2.800249996135224,1.0,0.7534722222222222,0.9444444444444444
184,2.9070751464058184,1.0,0.7534722222222222,0.9548611111111112
185,2.7694803534219194,1.0,0.71875,0.9513888888888888
186,3.474038673794101,1.0,0.7638888888888888,0.9479166666666666
187,3.831373024701127,1.0,0.7638888888888888,0.9409722222222222
188,3.020827686937993,1.0,0.7604166666666666,0.9479166666666666
189,3.9341477012905965,1.0,0.7638888888888888,0.9444444444444444
190,3.2844623416815963,1.0,0.7465277777777778,0.9583333333333334
191,3.382398419841676,1.0,0.7638888888888888,0.9513888888888888
192,3.075837695052443,1.0,0.75,0.96875
193,3.229059766964512,1.0,0.7881944444444444,0.9444444444444444
194,3.765254948146067,1.0,0.7673611111111112,0.9444444444444444
195,2.786433746667695,1.0,0.7534722222222222,0.9583333333333334
