mode,candidate_id,source_sample,replica,source_x,source_y,score
persistent,quadtree_6_2_2_3,5,2,-5.20258092880249023438,-7.2549610137939453125,0.0948097722972330026118
persistent,quadtree_6_2_2_3,5,3,-5.20258092880249023438,-7.2549610137939453125,0.10823012171660369896
persistent,quadtree_6_2_2_3,5,4,-5.20258092880249023438,-7.2549610137939453125,0.122113588905061617064
persistent,quadtree_6_2_2_3,5,5,-5.20258092880249023438,-7.2549610137939453125,0.106439837388566322782
persistent,quadtree_6_2_2_3,5,6,-5.20258092880249023438,-7.2549610137939453125,0.114520109754637349725
persistent,quadtree_6_2_2_3,5,7,-5.20258092880249023438,-7.2549610137939453125,0.112796198365867245045
persistent,quadtree_6_2_2_3,6,0,-5.39740896224975585938,-7.08457994461059570312,0.102655645636693169518
persistent,quadtree_6_2_2_3,6,1,-5.39740896224975585938,-7.08457994461059570312,0.107147488654068194814
persistent,quadtree_6_2_2_3,6,2,-5.39740896224975585938,-7.08457994461059570312,0.0942747897054238224979
persistent,quadtree_6_2_2_3,6,3,-5.39740896224975585938,-7.08457994461059570312,0.102666086905783904181
persistent,quadtree_6_2_2_3,6,4,-5.39740896224975585938,-7.08457994461059570312,0.113848734469317451461
persistent,quadtree_6_2_2_3,6,5,-5.39740896224975585938,-7.08457994461059570312,0.101674480792246490133
persistent,quadtree_6_2_2_3,6,6,-5.39740896224975585938,-7.08457994461059570312,0.114449323132532527964
persistent,quadtree_6_2_2_3,6,7,-5.39740896224975585938,-7.08457994461059570312,0.115051345743106474845
persistent,quadtree_6_2_2_3,7,0,-5.38554048538208007812,-6.41743946075439453125,0.0875161091932818246034
persistent,quadtree_6_2_2_3,7,1,-5.38554048538208007812,-6.41743946075439453125,0.085799757337829977752
persistent,quadtree_6_2_2_3,7,2,-5.38554048538208007812,-6.41743946075439453125,0.080239342266265823685
persistent,quadtree_6_2_2_3,7,3,-5.38554048538208007812,-6.41743946075439453125,0.08460763445127574683
persistent,quadtree_6_2_2_3,7,4,-5.38554048538208007812,-6.41743946075439453125,0.0948797709690532658266
persistent,quadtree_6_2_2_3,7,5,-5.38554048538208007812,-6.41743946075439453125,0.0848793319865879864857
persistent,quadtree_6_2_2_3,7,6,-5.38554048538208007812,-6.41743946075439453125,0.0937556857944132315922
persistent,quadtree_6_2_2_3,7,7,-5.38554048538208007812,-6.41743946075439453125,0.0865528959361274680633
resampled,quadtree_6_1_3_1,-1,0,nan,nan,0.104627257067515781247
fixed_center,quadtree_6_1_3_1,-1,0,-5.30000010132789611816,-7.43000009655952453613,0.101437952231846359283
resampled,quadtree_6_1_3_1,-1,1,nan,nan,0.115410992123824468792
fixed_center,quadtree_6_1_3_1,-1,1,-5.30000010132789611816,-7.43000009655952453613,0.113803246069838467069
resampled,quadtree_6_1_3_1,-1,2,nan,nan,0.098242412237513994742
fixed_center,quadtree_6_1_3_1,-1,2,-5.30000010132789611816,-7.43000009655952453613,0.10100544008398560555
resampled,quadtree_6_1_3_1,-1,3,nan,nan,0.108296746403642581097
fixed_center,quadtree_6_1_3_1,-1,3,-5.30000010132789611816,-7.43000009655952453613,0.110006360033998153982
resampled,quadtree_6_1_3_1,-1,4,nan,nan,0.121353966085258471415
fixed_center,quadtree_6_1_3_1,-1,4,-5.30000010132789611816,-7.43000009655952453613,0.125437922128450893232
resampled,quadtree_6_1_3_1,-1,5,nan,nan,0.107813273096345177146
fixed_center,quadtree_6_1_3_1,-1,5,-5.30000010132789611816,-7.43000009655952453613,0.106708104101252208413
resampled,quadtree_6_1_3_1,-1,6,nan,nan,0.115929577817606049117
fixed_center,quadtree_6_1_3_1,-1,6,-5.30000010132789611816,-7.43000009655952453613,0.113717761115544260963
resampled,quadtree_6_1_3_1,-1,7,nan,nan,0.112648756615755485365
fixed_center,quadtree_6_1_3_1,-1,7,-5.30000010132789611816,-7.43000009655952453613,0.112674179251441269374
persistent,quadtree_6_1_3_1,0,0,-5.50902605056762695312,-7.47310590744018554688,0.103760092377424575116
persistent,quadtree_6_1_3_1,0,1,-5.50902605056762695312,-7.47310590744018554688,0.112059818795027499125
persistent,quadtree_6_1_3_1,0,2,-5.50902605056762695312,-7.47310590744018554688,0.0994368301040880361752
persistent,quadtree_6_1_3_1,0,3,-5.50902605056762695312,-7.47310590744018554688,0.104632523525655260454
persistent,quadtree_6_1_3_1,0,4,-5.50902605056762695312,-7.47310590744018554688,0.123472209482114133233
persistent,quadtree_6_1_3_1,0,5,-5.50902605056762695312,-7.47310590744018554688,0.107396888974020792302
persistent,quadtree_6_1_3_1,0,6,-5.50902605056762695312,-7.47310590744018554688,0.117032456124225876715
persistent,quadtree_6_1_3_1,0,7,-5.50902605056762695312,-7.47310590744018554688,0.114511501010533209974
persistent,quadtree_6_1_3_1,1,0,-5.4660091400146484375,-7.2970333099365234375,0.105062709002736361501
persistent,quadtree_6_1_3_1,1,1,-5.4660091400146484375,-7.2970333099365234375,0.112533035209639591929
persistent,quadtree_6_1_3_1,1,2,-5.4660091400146484375,-7.2970333099365234375,0.096539704026742863628
persistent,quadtree_6_1_3_1,1,3,-5.4660091400146484375,-7.2970333099365234375,0.109331890535539169212
persistent,quadtree_6_1_3_1,1,4,-5.4660091400146484375,-7.2970333099365234375,0.122404730916840926355
persistent,quadtree_6_1_3_1,1,5,-5.4660091400146484375,-7.2970333099365234375,0.106534465193927641961
persistent,quadtree_6_1_3_1,1,6,-5.4660091400146484375,-7.2970333099365234375,0.119133664380112624248
