t_sim_s,step,x,y,z,yaw,vx,vy,vz
51.0,256,-0.1427302360534668,3.2491215705871603,0.4,-1.5707963267948966,0.0,-0.35,0.0
51.2,257,-0.12273128509521669,3.19912052154541,0.4,0.0,0.35,0.0,0.0
51.400000000000006,258,-0.052731285095212854,3.19912052154541,0.4,0.0,0.35,0.0,0.0
51.6,259,0.017268714904783877,3.19912052154541,0.4,0.0,0.35,0.0,0.0
51.800000000000004,260,0.08726871490478416,3.19912052154541,0.4,0.0,0.35,0.0,0.0
52.0,261,0.15726871490478445,3.19912052154541,0.4,0.0,0.35,0.0,0.0
52.2,262,0.22726871490478473,3.19912052154541,0.4,0.0,0.35,0.0,0.0
52.400000000000006,263,0.297268714904785,3.19912052154541,0.4,0.0,0.35,0.0,0.0
52.6,264,0.3672687149047853,3.19912052154541,0.4,0.0,0.35,0.0,0.0
52.800000000000004,265,0.4372687149047856,3.19912052154541,0.4,0.0,0.35,0.0,0.0
53.0,266,0.5072687149047823,3.19912052154541,0.4,0.0,0.35,0.0,0.0
53.2,267,0.5772687149047862,3.19912052154541,0.4,0.0,0.35,0.0,0.0
53.400000000000006,268,0.6472687149047864,3.19912052154541,0.4,0.0,0.35,0.0,0.0
53.6,269,0.7172687149047832,3.19912052154541,0.4,0.0,0.35,0.0,0.0
53.800000000000004,270,0.787268714904787,3.19912052154541,0.4,0.0,0.35,0.0,0.0
54.0,271,0.8572687149047837,3.19912052154541,0.4,0.0,0.35,0.0,0.0
54.2,272,0.927268714904784,3.19912052154541,0.4,0.0,0.35,0.0,0.0
54.400000000000006,273,0.9972687149047843,3.19912052154541,0.4,0.0,0.35,0.0,0.0
54.6,274,1.0672687149047846,3.19912052154541,0.4,0.0,0.35,0.0,0.0
54.800000000000004,275,1.1372687149047849,3.19912052154541,0.4,0.0,0.35,0.0,0.0
55.0,276,1.2072687149047852,3.19912052154541,0.4,0.0,0.35,0.0,0.0
55.2,277,1.2772687149047854,3.19912052154541,0.4,0.0,0.35,0.0,0.0
55.400000000000006,278,1.3472687149047857,3.19912052154541,0.4,0.0,0.35,0.0,0.0
55.6,279,1.417268714904786,3.19912052154541,0.4,0.0,0.35,0.0,0.0
55.800000000000004,280,1.4872687149047863,3.19912052154541,0.4,0.0,0.35,0.0,0.0
56.0,281,1.557268714904783,3.19912052154541,0.4,0.0,0.35,0.0,0.0
56.2,282,1.6272687149047833,3.19912052154541,0.4,0.0,0.35,0.0,0.0
56.400000000000006,283,1.6572699546813965,3.1591217613220195,0.4,-1.5707963267948966,0.0,-0.35,0.0
56.6,284,1.6472715759277357,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
56.800000000000004,285,1.5772715759277354,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
57.0,286,1.507271575927735,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
57.2,287,1.4372715759277348,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
57.400000000000006,288,1.3672715759277345,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
57.6,289,1.2972715759277342,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
57.800000000000004,290,1.227271575927734,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
58.0,291,1.1572715759277372,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
58.2,292,1.0872715759277334,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
58.400000000000006,293,1.017271575927733,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
58.6,294,0.9472715759277364,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
58.800000000000004,295,0.8772715759277325,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
59.0,296,0.8072715759277358,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
59.2,297,0.7372715759277355,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
59.400000000000006,298,0.6672715759277352,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
59.6,299,0.5972715759277349,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
59.800000000000004,300,0.5272715759277347,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
60.0,301,0.4572715759277344,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
60.2,302,0.3872715759277341,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
60.400000000000006,303,0.3172715759277338,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
60.6,304,0.24727157592773352,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
60.800000000000004,305,0.17727157592773324,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
61.0,306,0.1072715759277365,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
61.2,307,0.03727157592773622,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
61.400000000000006,308,-0.032728424072267615,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
61.6,309,-0.10272842407226435,3.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
61.800000000000004,310,-0.1427302360534668,3.0691219520568858,0.4,-1.5707963267948966,0.0,-0.35,0.0
62.0,311,-0.1427302360534668,2.9991219520568855,0.4,-1.5707963267948966,0.0,-0.35,0.0
62.2,312,-0.07273242950439496,2.999119758605957,0.4,0.0,0.35,0.0,0.0
62.400000000000006,313,-0.0027324295043946734,2.999119758605957,0.4,0.0,0.35,0.0,0.0
62.6,314,0.06726757049560561,2.999119758605957,0.4,0.0,0.35,0.0,0.0
62.800000000000004,315,0.1372675704956059,2.999119758605957,0.4,0.0,0.35,0.0,0.0
63.0,316,0.20726757049560263,2.999119758605957,0.4,0.0,0.35,0.0,0.0
63.2,317,0.27726757049560646,2.999119758605957,0.4,0.0,0.35,0.0,0.0
63.400000000000006,318,0.34726757049560675,2.999119758605957,0.4,0.0,0.35,0.0,0.0
63.6,319,0.4172675704956035,2.999119758605957,0.4,0.0,0.35,0.0,0.0
63.800000000000004,320,0.4872675704956073,2.999119758605957,0.4,0.0,0.35,0.0,0.0
64.0,321,0.557267570495604,2.999119758605957,0.4,0.0,0.35,0.0,0.0
64.2,322,0.6272675704956043,2.999119758605957,0.4,0.0,0.35,0.0,0.0
64.4,323,0.6972675704956046,2.999119758605957,0.4,0.0,0.35,0.0,0.0
64.60000000000001,324,0.7672675704956085,2.999119758605957,0.4,0.0,0.35,0.0,0.0
64.8,325,0.8372675704956016,2.999119758605957,0.4,0.0,0.35,0.0,0.0
65.0,326,0.9072675704956055,2.999119758605957,0.4,0.0,0.35,0.0,0.0
65.2,327,0.9772675704956058,2.999119758605957,0.4,0.0,0.35,0.0,0.0
65.4,328,1.047267570495606,2.999119758605957,0.4,0.0,0.35,0.0,0.0
65.60000000000001,329,1.1172675704956063,2.999119758605957,0.4,0.0,0.35,0.0,0.0
65.8,330,1.187267570495603,2.999119758605957,0.4,0.0,0.35,0.0,0.0
66.0,331,1.2572675704956033,2.999119758605957,0.4,0.0,0.35,0.0,0.0
66.2,332,1.3272675704956036,2.999119758605957,0.4,0.0,0.35,0.0,0.0
66.4,333,1.3972675704956075,2.999119758605957,0.4,0.0,0.35,0.0,0.0
66.60000000000001,334,1.4672675704956077,2.999119758605957,0.4,0.0,0.35,0.0,0.0
66.8,335,1.5372675704956045,2.999119758605957,0.4,0.0,0.35,0.0,0.0
67.0,336,1.6072675704956048,2.999119758605957,0.4,0.0,0.35,0.0,0.0
67.2,337,1.6572699546813965,2.9791221427917485,0.4,-1.5707963267948966,0.0,-0.35,0.0
67.4,338,1.6572699546813965,2.909122142791748,0.4,-1.5707963267948966,0.0,-0.35,0.0
67.60000000000001,339,1.7172681427001955,2.899120330810547,0.4,0.0,0.35,0.0,0.0
67.8,340,1.7872681427001922,2.899120330810547,0.4,0.0,0.35,0.0,0.0
68.0,341,1.8572681427001925,2.899120330810547,0.4,0.0,0.35,0.0,0.0
68.2,342,1.8572697639465332,2.8291219520568838,0.4,-1.5707963267948966,0.0,-0.35,0.0
68.4,343,1.8172717666625964,2.7991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
68.60000000000001,344,1.747271766662596,2.7991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
68.8,345,1.6772717666625994,2.7991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
69.0,346,1.607271766662599,2.7991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
69.2,347,1.5572700500488281,2.8191182327270496,0.4,1.5707963267948966,0.0,0.35,0.0
69.4,348,1.5572700500488281,2.88911823272705,0.4,1.5707963267948966,0.0,0.35,0.0
69.60000000000001,349,1.4972721481323212,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
69.8,350,1.427272148132328,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
70.0,351,1.3572721481323242,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
70.2,352,1.287272148132324,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
70.4,353,1.2172721481323237,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
70.60000000000001,354,1.1472721481323234,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
70.8,355,1.0772721481323266,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
71.0,356,1.0072721481323264,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
71.2,357,0.9372721481323261,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
71.4,358,0.8672721481323222,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
71.60000000000001,359,0.797272148132322,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
71.8,360,0.7272721481323252,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
72.0,361,0.6572721481323249,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
72.2,362,0.5872721481323246,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
72.4,363,0.5172721481323244,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
72.60000000000001,364,0.4472721481323241,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
72.8,365,0.37727214813232735,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
73.0,366,0.30727214813232706,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
73.2,367,0.23727214813232322,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
73.4,368,0.16727214813232294,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
73.60000000000001,369,0.09727214813232266,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
73.8,370,0.02727214813232592,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
74.0,371,-0.04272785186767436,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
74.2,372,-0.11272785186767464,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
74.4,373,-0.18272785186767493,2.899120330810547,0.4,3.141592653589793,-0.35,0.0,0.0
74.60000000000001,374,-0.24273014068603516,2.9091180419921905,0.4,1.5707963267948966,0.0,0.35,0.0
74.8,375,-0.24273014068603516,2.9791180419921837,0.4,1.5707963267948966,0.0,0.35,0.0
75.0,376,-0.24273014068603516,2.9491214752197266,0.4,-1.5707963267948966,0.0,-0.35,0.0
75.2,377,-0.24273014068603516,2.8791214752197263,0.4,-1.5707963267948966,0.0,-0.35,0.0
75.4,378,-0.24273014068603516,2.809121475219726,0.4,-1.5707963267948966,0.0,-0.35,0.0
75.60000000000001,379,-0.18273166656494055,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
75.8,380,-0.11273166656494382,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
76.0,381,-0.04273166656494354,2.7991199493408203,0.4,0.0,0.35,0.0,0.0
