"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-2.4423e-05,-2.2116e-05,1.6813e-07,9.4455,4.3564,0.44282
-3.1891e-05,-4.7813e-05,-1.7017e-06,9.55,4.8501,0.040241
-3.7468e-05,-5.2565e-05,-3.182e-07,9.5499,4.7507,0.13141
-3.3515e-05,-4.4659e-05,-3.8773e-07,9.5489,4.6526,0.23409
-2.8871e-05,-3.6654e-05,-1.495e-07,9.5461,4.5563,0.33863
-2.4481e-05,-3.0753e-05,1.6754e-07,9.542,4.4597,0.44356
-1.9561e-05,-2.6121e-05,1.9268e-07,9.5392,4.3605,0.54685
-2.253e-05,-6.4148e-05,1.2329e-06,9.65,4.9501,0.040866
-2.7536e-05,-6.9566e-05,4.157e-07,9.6499,4.8506,0.13251
-2.4815e-05,-5.8208e-05,-2.1558e-07,9.6495,4.7522,0.23461
-2.1689e-05,-4.6627e-05,-1.8247e-07,9.6479,4.6557,0.33823
-1.95e-05,-3.7699e-05,1.1116e-07,9.6444,4.5604,0.44301
-1.7677e-05,-3.1118e-05,2.3391e-07,9.6387,4.4639,0.54679
-1.2038e-05,-2.4478e-05,7.6106e-08,9.6385,4.3559,0.64895
-9.5752e-06,-6.6947e-05,1.7971e-06,9.75,5.0501,0.044009
-1.1497e-05,-6.7006e-05,3.7252e-07,9.75,4.9505,0.13497
-1.0269e-05,-5.4223e-05,-1.1e-08,9.7499,4.8517,0.23552
-8.7035e-06,-4.2283e-05,-2.1377e-07,9.7496,4.7544,0.3377
-7.6554e-06,-3.2787e-05,-2.7136e-08,9.7488,4.6587,0.44159
-7.2016e-06,-2.5167e-05,1.5216e-07,9.7472,4.5632,0.5455
-7.3165e-06,-1.8048e-05,1.5e-07,9.7439,4.4668,0.64826
-5.5365e-06,-1.2279e-05,-7.4767e-08,9.7458,4.3543,0.74965
-1.6018e-05,4.0676e-06,-4.959e-08,9.0502,4.25,0.039889
-2.2927e-05,-5.8685e-07,-1.5497e-07,9.1508,4.2502,0.13051
-1.2968e-05,2.1582e-07,-4.1593e-07,9.1507,4.15,0.039935
-2.3654e-05,-6.9096e-06,-1.1743e-07,9.2515,4.2508,0.23307
-1.7162e-05,-4.8083e-06,-1.337e-07,9.2522,4.1502,0.13093
-9.555e-06,-2.1156e-06,-3.2172e-07,9.2522,4.05,0.039998
-2.1576e-05,-1.2975e-05,1.5867e-08,9.3512,4.2523,0.3381
-1.6135e-05,-9.8584e-06,-3.2064e-08,9.3542,4.1507,0.23499
-1.1495e-05,-6.7409e-06,-9.0435e-08,9.3556,4.0501,0.13161
-6.3313e-06,-3.1613e-06,-1.9358e-07,9.3551,3.95,0.040017
-1.7858e-05,-1.8147e-05,1.391e-07,9.4491,4.2544,0.44402
