run_uuid,source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_source_x,native_source_y,native_score,hit_map_file
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_32_1_3_3,32,1,3,3,9.1999998092651367,-1.1130000352859497,8.8849649429321289,-1.3581733703613281,1.3658347419606679e-15,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_32_1_3_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_32_23_2_3,32,23,2,3,9.1999998092651367,5.4870004653930664,8.8399763107299805,5.2418265342712402,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_32_23_2_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_34_9_4_1,34,9,4,1,10.100000381469727,0.98700010776519775,9.5299539566040039,0.90527552366256714,2.6858947793377162e-16,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_34_9_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_32_9_2_5,32,9,2,5,9.1999998092651367,1.5870000123977661,8.8399763107299805,1.1783777475357056,1.1668494163145525e-08,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_32_9_2_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_34_24_4_1,34,24,4,1,10.100000381469727,5.4870004653930664,9.5299539566040039,5.405275821685791,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_34_24_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_34_19_4_1,34,19,4,1,10.100000381469727,3.9870004653930664,9.5299539566040039,3.905275821685791,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_34_19_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_32_14_2_5,32,14,2,5,9.1999998092651367,3.0870003700256348,8.8399763107299805,2.6783778667449951,2.1551176234511045e-26,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_32_14_2_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_35_1_3_3,35,1,3,3,10.100000381469727,-1.1130000352859497,9.7849645614624023,-1.3581733703613281,3.0522176048487963e-17,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_35_1_3_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_36_25_2_1,36,25,2,1,10.399999618530273,5.7870001792907715,10.039976119995117,5.7052760124206543,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_36_25_2_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_34_16_4_1,34,16,4,1,10.100000381469727,3.0870003700256348,9.5299539566040039,3.0052757263183594,5.2052311100065233e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_34_16_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_36_14_5_2,36,14,5,2,10.699999809265137,2.7870001792907715,10.174942016601562,2.4735512733459473,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_36_14_5_2.f32
