source_update_id,query_id,cell_index,x,y,service_u,service_v,internal_u,internal_v,internal_magnitude,raw_component_max_abs_diff,float32_component_max_abs_diff,angle_abs_rad
1,21,393,-2.5999999046325684,-3.8299999237060547,-0.16032,-0.23315,-0.1603199988603592,-0.23315000534057617,0.28295128030262784,5.340576175738576e-09,0.0,1.4013095572806833e-08
1,21,397,-1.4000000953674316,-3.8299999237060547,-0.10999,-0.047968,-0.10999000072479248,-0.047968000173568726,0.11999470530023956,7.247924760367397e-10,0.0,1.0887086787647604e-09
1,21,401,-0.19999980926513672,-3.8299999237060547,-0.0054804,-0.0037299,-0.0054803998209536076,-0.003729900112375617,0.006629248603409588,1.7904639229571195e-10,0.0,2.920996378108498e-08
1,21,402,0.099999904632568359,-3.8299999237060547,-0.0027957,-0.0035287,-0.0027956999838352203,-0.003528699977323413,0.004501962008899954,2.267658717053367e-11,0.0,3.136166881745339e-10
1,21,412,-5.6000003814697266,-3.5299997329711914,-0.06048,-0.066761,-0.06047999858856201,-0.06676100194454193,0.09008252666256422,1.9445419302543954e-09,0.0,2.6104562067530424e-08
1,21,413,-5.3000001907348633,-3.5299997329711914,-0.087281,-0.058665,-0.0872810035943985,-0.05866499990224838,0.10516442270072235,3.5943985010611357e-09,0.0,1.9837799847266524e-08
1,21,414,-5,-3.5299997329711914,-0.12691,-0.058819,-0.126910001039505,-0.0588189996778965,0.13987788634003429,1.0395050098477299e-09,0.0,5.214234821693253e-09
1,21,415,-4.6999998092651367,-3.5299997329711914,-0.16533,-0.036779,-0.16532999277114868,-0.036779001355171204,0.16937148948507172,7.228851323093366e-09,0.0,1.7078309433316008e-08
1,21,416,-4.4000000953674316,-3.5299997329711914,-0.17566,-0.015547,-0.17565999925136566,-0.015546999871730804,0.17634666013849365,7.486343489571112e-10,0.0,3.502700351987187e-10
1,21,417,-4.1000003814697266,-3.5299997329711914,-0.18625,-0.0071473,-0.1862500011920929,-0.007147300057113171,0.1863870887217272,1.1920928966180355e-09,0.0,6.094058591088469e-11
1,21,418,-3.7999999523162842,-3.5299997329711914,-0.16996,-0.0043986,-0.16996000707149506,-0.004398600198328495,0.170016915886177,7.071495056187871e-09,0.0,9.00595154007533e-11
1,21,419,-3.5,-3.5299997329711914,-0.1612,-0.013041,-0.16120000183582306,-0.013040999881923199,0.1617266467524436,1.835823049134433e-09,0.0,1.6430554694579769e-09
1,21,420,-3.1999998092651367,-3.5299997329711914,-0.15366,-0.035176,-0.15365999937057495,-0.035176001489162445,0.15763485175344522,1.4891624461332853e-09,0.0,1.0099718839029492e-08
1,21,421,-2.9000000953674316,-3.5299997329711914,-0.16823,-0.088189,-0.16822999715805054,-0.08818899840116501,0.1899437584728658,2.841949453546988e-09,0.0,5.084266341270904e-10
1,21,422,-2.5999999046325684,-3.5299997329711914,-0.22855,-0.14289,-0.2285500019788742,-0.14289000630378723,0.2695415687904924,6.303787242201153e-09,0.0,1.5938429243078645e-08
1,21,423,-2.3000001907348633,-3.5299997329711914,-0.31358,-0.17542,-0.3135800063610077,-0.17542000114917755,0.35931128174960925,6.361007665045548e-09,0.0,5.851758189123757e-09
1,21,424,-2,-3.5299997329711914,-0.34429,-0.14179,-0.34428998827934265,-0.1417900025844574,0.37234392819312945,1.1720657333569307e-08,0.0,1.8405040158597785e-08
