t_sim_s,x,y,z
34.0,-0.8083059137844453,-3.63,0.3
34.2,-0.8784210652609454,-3.63,0.3
34.4,-0.9485362167374474,-3.63,0.3
34.6,-1.0131885089424906,-3.643188508942491,0.3
34.8,-1.0627674080154474,-3.6927674080154476,0.3
35.0,-1.112346307088403,-3.742346307088403,0.3
35.2,-1.1619252061613594,-3.79192520616136,0.3
35.4,-1.1999999999999993,-3.846269261645338,0.3
35.6,-1.1999999999999993,-3.9163844131218397,0.3
35.8,-1.1999999999999993,-3.98649956459834,0.3
36.0,-1.1999999999999993,-4.056614716074842,0.3
36.2,-1.1999999999999993,-4.126729867551343,0.3
36.4,-1.1999999999999993,-4.196845019027843,0.3
36.6,-1.1738652128025657,-4.256134787197434,0.3
36.8,-1.1242863137296093,-4.305713686270391,0.3
37.0,-1.0999999999999996,-4.365769117220038,0.3
37.2,-1.0999999999999996,-4.435884268696542,0.3
37.4,-1.0999999999999996,-4.505999420173042,0.3
37.6,-1.0999999999999996,-4.576114571649544,0.3
37.8,-1.0999999999999996,-4.646229723126047,0.3
38.0,-1.0999999999999996,-4.716344874602547,0.3
38.2,-1.0600767326935345,-4.769923267306464,0.3
38.4,-1.0104978336205783,-4.81950216637942,0.3
38.6,-0.9609189345476232,-4.8690810654523755,0.3
38.8,-0.9113400354746656,-4.918659964525333,0.3
39.0,-0.8999999999999995,-4.984077919510437,0.3
39.2,-0.8828929154474097,-5.047107084552589,0.3
39.4,-0.833314016374452,-5.096685983625547,0.3
39.6,-0.7999999999999998,-5.153002017702632,0.3
39.8,-0.7999999999999998,-5.2231171691791305,0.3
40.0,-0.7552879972742386,-5.274712002725761,0.3
40.2,-0.7057090982012824,-5.324290901798717,0.3
40.4,-0.6561301991283273,-5.373869800871672,0.3
40.6,-0.6065513000553708,-5.423448699944629,0.3
40.8,-0.5569724009824141,-5.473027599017585,0.3
41.0,-0.5073935019094584,-5.52260649809054,0.3
41.2,-0.45781460283650194,-5.572185397163497,0.3
41.4,-0.40823570376354557,-5.621764296236454,0.3
41.6,-0.35865680469059036,-5.67134319530941,0.3
41.8,-0.309077905617634,-5.720922094382366,0.3
42.0,-0.2594990065446772,-5.770500993455323,0.3
42.2,-0.20992010747172163,-5.820079892528278,0.3
42.4,-0.1999999999999993,-5.886086000949794,0.3
42.6,-0.1999999999999993,-5.956201152426297,0.3
42.8,-0.1999999999999993,-6.026316303902796,0.3
43.0,-0.15302586741720592,-6.0769741325827935,0.3
43.2,-0.10344696834424824,-6.126553031655751,0.3
43.4,-0.05386806927129394,-6.1761319307287055,0.3
43.6,-0.004289170198335829,-6.225710829801663,0.3
43.8,0.04528972887462061,-6.27528972887462,0.3
44.0,0.09486862794757703,-6.324868627947576,0.3
44.2,0.10000000000000053,-6.392858295526381,0.3
44.4,0.10000000000000053,-6.462973447002883,0.3
44.6,0.10218396892913623,-6.532183968929135,0.3
44.8,0.15176286800209138,-6.581762868002091,0.3
45.0,0.2013417670750478,-6.631341767075048,0.3
45.2,0.2509206661480047,-6.680920666148004,0.3
45.4,0.3004995652209602,-6.730499565220959,0.3
45.6,0.35007846429391604,-6.780078464293915,0.3
45.8,0.3996573633668718,-6.829657363366872,0.3
46.0,0.40000000000000036,-6.899630590102965,0.3
46.2,0.42810448339413176,-6.958104483394131,0.3
46.4,0.47768338246708736,-7.007683382467086,0.3
46.6,0.5272622815400427,-7.057262281540042,0.3
46.8,0.5768411806130004,-7.106841180612999,0.3
47.0,0.6000000000000005,-7.1673636350108545,0.3
47.2,0.6052883006402551,-7.235288300640254,0.3
47.4,0.6548671997132127,-7.284867199713212,0.3
47.6,0.7000000000000002,-7.336287733203049,0.3
47.8,0.7000000000000002,-7.406402884679547,0.3
48.0,0.7328932188134251,-7.4628932188134245,0.3
48.2,0.7824721178863827,-7.512472117886383,0.3
48.4,0.7999999999999998,-7.575326982871742,0.3
48.6,0.7999999999999998,-7.645442134348245,0.3
48.8,0.7999999999999998,-7.7155572858247465,0.3
49.0,0.7606336420591051,-7.690633642059105,0.3
49.2,0.71105474298615,-7.6410547429861495,0.3
49.4,0.6614758439131923,-7.591475843913192,0.3
49.6,0.6118969448402372,-7.541896944840237,0.3
49.8,0.562318045767282,-7.4923180457672816,0.3
50.0,0.5127391466943243,-7.442739146694323,0.3
50.2,0.5000000000000009,-7.377900722551673,0.3
50.4,0.4842920266670695,-7.314292026667069,0.3
50.6,0.4347131275941114,-7.264713127594111,0.3
50.8,0.385134228521156,-7.215134228521155,0.3
51.0,0.33555532944820077,-7.1655553294482,0.3
51.2,0.285976430375243,-7.115976430375242,0.3
51.4,0.2363975313022849,-7.066397531302284,0.3
51.6,0.18681863222933193,-7.016818632229331,0.3
51.8,0.13723973315637428,-6.967239733156373,0.3
52.0,0.0876608340834166,-6.917660834083415,0.3
52.2,0.03808193501046396,-6.868081935010463,0.3
52.4,-0.011496964062493805,-6.818503035937505,0.3
52.6,-0.061075863135451915,-6.768924136864547,0.3
52.8,-0.1106547622084049,-6.719345237791594,0.3
53.0,-0.16023366128136257,-6.669766338718636,0.3
