"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0072423,0.063523,-0.010007,0.039698,0.34503,0.74987
-0.007209,0.043394,-0.009013,0.038972,0.24068,0.84996
-0.0070341,0.023967,-0.0083233,0.037358,0.13632,0.94999
-0.0066991,0.0061775,-0.0080693,0.042116,0.042257,1.05
-0.30515,-0.0057745,0.01138,1.15,0.042374,0.042381
-0.22538,0.0080752,0.0052101,1.05,0.13657,0.037509
-0.27727,0.0014042,0.02429,1.05,0.037463,0.13627
-0.16181,0.025082,0.0020014,0.94994,0.24067,0.038974
-0.21204,0.020866,0.011324,0.94994,0.12924,0.12916
-0.24829,0.0061605,0.027852,0.95,0.038969,0.24049
-0.12066,0.04865,0.00023337,0.84992,0.34495,0.039692
-0.15437,0.041651,0.0027732,0.84979,0.23682,0.13006
-0.19087,0.031167,0.012828,0.84981,0.13007,0.23681
-0.21361,0.0095507,0.024084,0.84993,0.039692,0.34477
-0.095468,0.070898,-0.00068219,0.74982,0.44771,0.039889
-0.11652,0.064054,-0.0016825,0.74949,0.34246,0.13056
-0.14245,0.053171,0.0026285,0.74929,0.23495,0.23492
-0.16497,0.036112,0.009854,0.7495,0.13056,0.34232
-0.1763,0.011003,0.016492,0.74982,0.039889,0.44756
-0.079808,0.092115,-0.0011327,0.64956,0.54905,0.039922
-0.092049,0.08415,-0.0037629,0.64889,0.44592,0.13066
-0.10857,0.073434,-0.0028827,0.64824,0.34,0.23377
-0.12535,0.057493,0.00068297,0.64824,0.23379,0.33992
-0.13705,0.035904,0.0053837,0.64889,0.13065,0.44579
-0.14079,0.010592,0.0087209,0.64956,0.039921,0.54897
-0.0693,0.11305,-0.0013338,0.54893,0.64962,0.039922
-0.075261,0.10311,-0.0046523,0.54776,0.54788,0.13065
-0.084721,0.091299,-0.0055451,0.54645,0.44388,0.23322
-0.095616,0.076005,-0.0043788,0.54588,0.33814,0.33809
-0.10489,0.055987,-0.001579,0.54646,0.23323,0.4438
-0.10977,0.032659,0.0011151,0.54777,0.13065,0.5478
-0.10999,0.009316,0.0025591,0.54894,0.039921,0.64958
-0.060941,0.13472,-0.0014116,0.44749,0.74984,0.03989
-0.062378,0.12214,-0.0049958,0.44572,0.64895,0.13066
-0.066688,0.10848,-0.0067962,0.44373,0.54656,0.23323
-0.072776,0.092623,-0.0070629,0.44236,0.44248,0.33739
-0.078859,0.073657,-0.0057582,0.44237,0.3374,0.44243
-0.083203,0.051771,-0.0038859,0.44375,0.23323,0.54651
-0.084784,0.028885,-0.0023766,0.44574,0.13066,0.64892
-0.084087,0.0080754,-0.0018149,0.4475,0.03989,0.74983
-0.052231,0.15792,-0.0014385,0.3446,0.84994,0.039697
-0.050633,0.14224,-0.0051454,0.34222,0.74953,0.13057
-0.05141,0.12627,-0.0074712,0.33985,0.64831,0.23379
-0.054039,0.10919,-0.0086174,0.33804,0.54598,0.33813
-0.057305,0.090322,-0.0083626,0.33734,0.44247,0.44246
-0.060145,0.069539,-0.0072758,0.33805,0.33813,0.54595
-0.061884,0.047574,-0.0059561,0.33986,0.23378,0.64829
-0.06225,0.025897,-0.0050323,0.34223,0.13057,0.74952
-0.061748,0.0071482,-0.0047822,0.3446,0.039696,0.84993
-0.041613,0.18289,-0.0014432,0.24018,0.94998,0.038997
-0.038355,0.16388,-0.0052539,0.23666,0.84982,0.1301
-0.037183,0.14532,-0.0080352,0.23486,0.74933,0.23496
-0.037702,0.12666,-0.009789,0.23374,0.64831,0.34
-0.038961,0.1073,-0.010237,0.2332,0.54656,0.44388
-0.040316,0.086971,-0.0097266,0.2332,0.44387,0.54657
-0.041299,0.065867,-0.0086906,0.23375,0.33999,0.64831
-0.0417,0.044516,-0.0076086,0.23487,0.23496,0.74933
-0.041604,0.023883,-0.0068832,0.23666,0.13009,0.84982
-0.041757,0.0065288,-0.0066749,0.24019,0.038997,0.94998
-0.026776,0.20947,-0.0014572,0.13594,1.05,0.037506
-0.02264,0.18717,-0.0055037,0.129,0.94995,0.12918
-0.021504,0.16591,-0.0089233,0.13003,0.84982,0.23682
-0.021317,0.14542,-0.011081,0.13055,0.74953,0.34249
-0.021505,0.12515,-0.011968,0.13065,0.64896,0.44594
-0.021875,0.10473,-0.011814,0.13064,0.54789,0.54789
-0.022188,0.084087,-0.010978,0.13065,0.44593,0.64896
-0.022284,0.063323,-0.0098387,0.13055,0.34248,0.74954
-0.022072,0.042647,-0.0087554,0.13004,0.23681,0.84983
-0.021545,0.022586,-0.0080208,0.12901,0.12918,0.94996
-0.022737,0.0061872,-0.0077564,0.13595,0.037505,1.05
-0.0084951,0.23733,-0.0015849,0.042112,1.15,0.042258
-0.0074851,0.21145,-0.0061953,0.037356,1.05,0.13632
-0.0069717,0.18774,-0.0099773,0.038969,0.94998,0.24068
-0.006884,0.16544,-0.012516,0.039692,0.84994,0.34503
-0.0069053,0.14401,-0.013734,0.039888,0.74985,0.44776
-0.00699,0.12306,-0.013804,0.03992,0.64963,0.54908
-0.0070763,0.10239,-0.01308,0.03992,0.54907,0.64963
-0.0071225,0.08195,-0.011885,0.039888,0.44775,0.74985
-0.0071074,0.061811,-0.01055,0.039693,0.34503,0.84994
-0.0070276,0.042119,-0.00936,0.03897,0.24068,0.94998
-0.0068312,0.023221,-0.0085318,0.037358,0.13632,1.05
-0.0065053,0.005984,-0.0081532,0.042121,0.042256,1.15
-0.31894,-0.011431,0.013398,1.25,0.042407,0.042389
-0.23563,-0.0061781,0.0066234,1.15,0.13648,0.037501
-0.29724,-0.0029753,0.030833,1.1499,0.03749,0.13645
-0.1684,0.0049503,0.0029112,1.05,0.24071,0.038981
-0.22966,0.010125,0.015908,1.05,0.12928,0.12916
-0.27398,0.0029166,0.037812,1.05,0.038961,0.24051
-0.12407,0.028327,0.00073183,0.94995,0.34493,0.039689
-0.16576,0.027135,0.0053958,0.94987,0.2369,0.13006
-0.21272,0.024118,0.019534,0.9499,0.13007,0.23677
-0.24287,0.0074247,0.035554,0.94997,0.039688,0.34481
-0.09711,0.052157,-0.00051537,0.84991,0.44769,0.039882
-0.12372,0.050234,-0.00059759,0.84971,0.34243,0.13053
-0.15772,0.044767,0.0060171,0.84959,0.23492,0.23489
-0.18915,0.03315,0.01696,0.84972,0.13053,0.34232
-0.20634,0.010275,0.027125,0.84991,0.039881,0.44758
-0.081592,0.0756,-0.0011521,0.7498,0.54903,0.03991
-0.097706,0.071969,-0.0035952,0.74938,0.44585,0.1306
-0.12001,0.066113,-0.0017036,0.74896,0.33988,0.23366
-0.14364,0.0547,0.003991,0.74896,0.23367,0.33982
-0.16169,0.036375,0.011437,0.74938,0.1306,0.44574
-0.16881,0.010996,0.016986,0.7498,0.039909,0.54896
-0.072814,0.098655,-0.0014557,0.64954,0.6496,0.039911
-0.081327,0.092765,-0.0049553,0.64877,0.54779,0.13056
-0.094775,0.085301,-0.0055582,0.64786,0.44365,0.23299
-0.11053,0.074058,-0.0033645,0.64745,0.33782,0.33779
-0.12486,0.057079,0.001142,0.64787,0.23299,0.44358
-0.13329,0.034784,0.0056451,0.64878,0.13056,0.54771
-0.13458,0.01011,0.0082307,0.64955,0.03991,0.64956
-0.067335,0.12223,-0.0015751,0.54892,0.74983,0.039911
-0.070251,0.11339,-0.0054831,0.54767,0.64884,0.13056
-0.077124,0.10358,-0.0073348,0.54612,0.54623,0.23278
